Afar (aa)
Abkasies (ab)
Asjinees (ace)
Akoli (ach)
Adangme (ada)
Adyghe (ady)
Afrikaans (af)
Aghem (agq)
Ainu (ain)
Akan (ak)
Aleut (ale)
Suid-Altai (alt)
Amharies (am)
Aragonees (an)
Angika (anp)
Arabies (ar)
Moderne Standaard Arabies (ar_001)
Aramees (arc)
Mapuche (arn)
Arapaho (arp)
Assamees (as)
Asu (asa)
Asturies (ast)
Avaries (av)
Awadhi (awa)
Aymara (ay)
Azerbeidjans (az)
Baskir (ba)
Balinees (ban)
Basaa (bas)
Belo-Russies (be)
Bemba (bem)
Bena (bez)
Bulgaars (bg)
Wes-Balochi (bgn)
Bhojpuri (bho)
Bislama (bi)
Bini (bin)
Siksika (bla)
Bambara (bm)
Bengaals (bn)
Tibettaans (bo)
Bretons (br)
Bodo (brx)
Bosnies (bs)
Buginees (bug)
Blin (byn)
Katalaans (ca)
Tsjetsjen (ce)
Cebuano (ceb)
Sjiga (cgg)
Chamorro (ch)
Chuukees (chk)
Mari (chm)
Choctaw (cho)
Cherokees (chr)
Cheyennees (chy)
Sorani Koerdies (ckb)
Korsikaans (co)
Kopties (cop)
Seselwa Franskreools (crs)
Tsjeggies (cs)
Kerkslawies (cu)
Chuvash (cv)
Wallies (cy)
Deens (da)
Dakotaans (dak)
Dakota (dar)
Taita (dav)
Duits (de)
Switserse hoog-Duits (de_CH)
Dogrib (dgr)
Zarma (dje)
Lae Sorbies (dsb)
Duala (dua)
Divehi (dv)
Jola-Fonyi (dyo)
Dzongkha (dz)
Dazaga (dzg)
Embu (ebu)
Ewe (ee)
Efik (efi)
Antieke Egipties (egy)
Ekajuk (eka)
Grieks (el)
Engels (en)
Esperanto (eo)
Spaans (es)
Spaans (Suid-Amerika) (es_419)
Estnies (et)
Baskies (eu)
Ewondo (ewo)
Persies (fa)
Fulah (ff)
Fins (fi)
Filippyns (fil)
Fidjiaans (fj)
Faroees (fo)
Fon (fon)
Frans (fr)
Friuliaans (fur)
Wes-Fries (fy)
Iers (ga)
Gaa (gaa)
Gagauz (gag)
Skotse Gallies (gd)
Geez (gez)
Gilbertees (gil)
Galisies (gl)
Guarani (gn)
Gorontalo (gor)
Goties (got)
Antieke Grieks (grc)
Switserse Duits (gsw)
Goedjarati (gu)
Gusii (guz)
Manx (gv)
Gwichʼin (gwi)
Hausa (ha)
Hawaiies (haw)
Hebreeus (he)
Hindi (hi)
Hiligaynon (hil)
Hetities (hit)
Hmong (hmn)
Kroaties (hr)
Hoog-Sorbies (hsb)
Haïtiaans (ht)
Hongaars (hu)
Hupa (hup)
Armeens (hy)
Herero (hz)
Interlingua (ia)
Ibanees (iba)
Ibibio (ibb)
Indonesies (id)
Interlingue (ie)
Igbo (ig)
Sichuan Yi (ii)
Iloko (ilo)
Ingush (inh)
Ido (io)
Yslands (is)
Italiaans (it)
Innuïties (iu)
Japannees (ja)
Lojban (jbo)
Ngomba (jgo)
Machame (jmc)
Javaans (jv)
Georgies (ka)
Kabyle (kab)
Kachin (kac)
Jju (kaj)
Kamba (kam)
Kabardiaans (kbd)
Tyap (kcg)
Makonde (kde)
Kabuverdianu (kea)
Koro (kfo)
Kongolees (kg)
Khasi (kha)
Koyra Chiini (khq)
Kikuyu (ki)
Kuanyama (kj)
Kazaks (kk)
Kako (kkj)
Kalaallisut (kl)
Kalenjin (kln)
Khmer (km)
Kimbundu (kmb)
Kannada (kn)
Koreaans (ko)
Komi-Permyaks (koi)
Konkani (kok)
Kpellees (kpe)
Kanuri (kr)
Karachay-Balkar (krc)
Karelies (krl)
Kurukh (kru)
Kasjmirs (ks)
Shambala (ksb)
Bafia (ksf)
Keuls (ksh)
Koerdies (ku)
Kumyk (kum)
Komi (kv)
Kornies (kw)
Kirgisies (ky)
Latyn (la)
Ladino (lad)
Langi (lag)
Luxemburgs (lb)
Lezghies (lez)
Ganda (lg)
Limburgs (li)
Lakota (lkt)
Lingaals (ln)
Lao (lo)
Lozi (loz)
Noord-Luri (lrc)
Litaus (lt)
Luba-Katanga (lu)
Luba-Lulua (lua)
Lunda (lun)
Luo (luo)
Mizo (lus)
Luyia (luy)
Letties (lv)
Madurees (mad)
Magahi (mag)
Maithili (mai)
Makasar (mak)
Masai (mas)
Moksha (mdf)
Mende (men)
Meru (mer)
Morisjen (mfe)
Malgassies (mg)
Makhuwa-Meetto (mgh)
Meta’ (mgo)
Marshallees (mh)
Maori (mi)
Micmac (mic)
Minangkabaus (min)
Masedonies (mk)
Malabaars (ml)
Mongools (mn)
Manipuri (mni)
Mohawk (moh)
Mossi (mos)
Marathi (mr)
Maleis (ms)
Maltees (mt)
Mundang (mua)
Veelvuldige tale (mul)
Kreek (mus)
Mirandees (mwl)
Birmaans (my)
Erzya (myv)
Masanderani (mzn)
Nauru (na)
Neapolitaans (nap)
Nama (naq)
Noorse Bokmål (nb)
Noord-Ndebele (nd)
Lae Duits (nds)
Nedersaksies (nds_NL)
Nepalees (ne)
Newari (new)
Ndonga (ng)
Nias (nia)
Niuean (niu)
Nederlands (nl)
Vlaams (nl_BE)
Kwasio (nmg)
Noorweegse Nynorsk (nn)
Ngiemboon (nnh)
Noors (no)
Nogai (nog)
N’Ko (nqo)
Suid-Ndebele (nr)
Noord-Sotho (nso)
Nuer (nus)
Navajo (nv)
Nyanja (ny)
Nyankole (nyn)
Oksitaans (oc)
Oromo (om)
Oriya (or)
Osseties (os)
Pandjabi (pa)
Pangasinan (pag)
Pampanga (pam)
Papiamento (pap)
Palauaans (pau)
Nigeriese Pidgin (pcm)
Fenisies (phn)
Pools (pl)
Pruisies (prg)
Pasjto (ps)
Portugees (pt)
Quechua (qu)
K’iche’ (quc)
Rapanui (rap)
Rarotongaans (rar)
Reto-Romaans (rm)
Rundi (rn)
Roemeens (ro)
Moldawies (ro_MD)
Rombo (rof)
Root (root)
Russies (ru)
Aromanies (rup)
Rwandees (rw)
Rwa (rwk)
Sanskrit (sa)
Sandawees (sad)
Sakhaans (sah)
Samburu (saq)
Santalies (sat)
Ngambay (sba)
Sangu (sbp)
Sardinies (sc)
Sisiliaans (scn)
Skots (sco)
Sindhi (sd)
Suid-Koerdies (sdh)
Noord-Sami (se)
Sena (seh)
Koyraboro Senni (ses)
Sango (sg)
Serwo-Kroaties (sh)
Tachelhit (shi)
Shan (shn)
Sinhala (si)
Slowaaks (sk)
Sloweens (sl)
Samoaans (sm)
Suid-Sami (sma)
Lule Sami (smj)
Inari Sami (smn)
Skolt Sami (sms)
Shona (sn)
