Aghem (agq)
Akan (ak)
Àmalì (am)
Àlabì (ar)
Bɛ̀làlusàn (be)
Bùugɨlìa (bg)
Bɨ̀ŋgalì (bn)
Chɛ̂ (cs)
Dzamɛ̀ (de)
Gɨ̀lêʔ (el)
Kɨŋgele (en)
Sɨ̀kpanìs (es)
Kpɛɛshìa (fa)
Kɨ̀fàlàŋsi (fr)
Kɨtsɔŋkaŋ (ha)
Endì (hi)
Hɔŋgalìa (hu)
Èndònɛshìa (id)
Egbò (ig)
Ètalìa (it)
Dzàkpànê (ja)
Dzàbvànê (jv)
Kɨmɛ̀ (km)
kùulîa (ko)
Màlae (ms)
Bùumɛsɛ̀ (my)
Nɛ̀kpalì (ne)
Dɔ̂s (nl)
Kpuwndzabì (pa)
Kpɔlìs (pl)
Kpotùwgîi (pt)
Lùmanyìa (ro)
Lushìa (ru)
Lùwandà (rw)
Sòmalì (so)
Suedìs (sv)
Tamì (ta)
Tàe (th)
Tʉʉkìs (tr)
Ùkɛlɛnìa (uk)
Uudùw (ur)
Vìyɛtnàmê (vi)
Yulùba (yo)
Chàenê (zh)
Zulù (zu)
