ab,abḥasianu
af,afrikaans
am,amharicu
ar,árabe
as,asamés
ast,asturianu
az,azerbaixanu
be,bielorrusu
bg,búlgaru
bn,bengalín
bo,tibetanu
bs,bosniu
ca,catalán
cs,checu
cy,galés
da,danés
de,alemán
de_AT,alemán d'Austria
de_CH,alemán de Suiza
el,griegu
en,inglés
en_AU,inglés d'Australia
en_CA,inglés de Canadá
en_GB,inglés de Gran Bretaña
en_US,inglés d'EE.XX.
eo,esperanto
es,español
es_419,español d'América Latina
es_ES,español d'Europa
et,estoniu
eu,vascu
fa,persa
fi,finlandés
fil,filipín
fj,fixanu
fo,feroés
fr,francés
fr_CA,francés de Canadá
fr_CH,francés de Suiza
fy,frisón occidental
ga,irlandés
gl,gallegu
gn,guaraní
gsw,alemánicu de Suiza
gu,guyaratí
ha,ḥausa
haw,ḥawaianu
he,hebréu
hi,hindi
hr,croata
ht,haitianu
hu,húngaru
hy,armeniu
id,indonesiu
ig,igbo
is,islandés
it,italianu
ja,xaponés
jv,xavanés
ka,xeorxanu
kk,kazaquistanín
km,ḥemer
kn,canarés
ko,coreanu
ks,cachemirés
ku,curdu
ky,kirguistanín
la,llatín
lb,luxemburgués
lo,laosianu
lt,lituanu
lv,letón
mg,malgaxe
mi,maorí
mk,macedoniu
ml,malayalam
mr,maratí
ms,malayu
mt,maltés
my,birmanu
nb,noruegu Bokmål
ne,nepalés
nl,neerlandés
nl_BE,flamencu
nn,noruegu Nynorsk
or,oriya
pa,punyabí
pl,polacu
ps,pashtu
pt,portugués
pt_BR,portugués del Brasil
pt_PT,portugués d'Europa
qu,quechua
rm,romanche
ro,rumanu
ru,rusu
sa,sánscritu
sd,sindhi
si,cingalés
sk,eslovacu
sl,eslovenu
so,somalín
sq,albanu
sr,serbiu
su,sondanés
sv,suecu
sw,suaḥili
ta,tamil
te,telugu
tg,taxiquistanín
th,tailandés
ti,tigrinya
tk,turcomanu
to,tonganu
tr,turcu
tt,tártaru
ug,uigur
uk,ucraín
und,llingua desconocida
ur,indostánicu
uz,uzbequistanín
vi,vietnamín
wo,wolof
xh,xhosa
yo,yoruba
zh,chinu
zh_Hans,chinu simplificáu
zh_Hant,chinu tradicional
zu,zulú
zxx,ensin conteníu llingüísticu
