абхазская (ab)
адыгейская (ady)
афрыкаанс (af)
акадзкая (akk)
алеуцкая (ale)
амхарская (am)
арагонская (an)
стараанглійская (ang)
арабская (ar)
арамейская (arc)
асамская (as)
астурыйская (ast)
аварская (av)
аймара (ay)
азербайджанская (az)
башкірская (ba)
беларуская (be)
балгарская (bg)
бенгальская (bn)
брэтонская (br)
баснійская (bs)
бурацкая (bua)
каталонская (ca)
чачэнская (ce)
чыбча (chb)
копцкая (cop)
чэшская (cs)
чувашская (cv)
валійская (cy)
дацкая (da)
нямецкая (de)
нямецкая (аўстр.) (de_AT)
нямецкая (швейц.) (de_CH)
стараэгіпецкая (egy)
грэцкая (el)
англійская (en)
англійская (аўстрал.) (en_AU)
англійская (канад.) (en_CA)
англійская (ЗША) (en_US)
эсперанта (eo)
іспанская (es)
іспанская (лацінаамер.) (es_419)
эстонская (et)
баскская (eu)
фарсі (fa)
фінская (fi)
тагальская (fil)
фарэрская (fo)
французская (fr)
французская (канад.) (fr_CA)
французская (швейц.) (fr_CH)
старафранцузская (fro)
фрызская (fy)
ірландская (ga)
шатландская гэльская (gd)
галісійская (gl)
гуарані (gn)
старагрэцкая (grc)
гуяраці (gu)
іўрыт (he)
хіндзі (hi)
харвацкая (hr)
венгерская (hu)
армянская (hy)
інтэрлінгва (ia)
інданезійская (id)
інтэрлінгве (ie)
ісландская (is)
італьянская (it)
японская (ja)
яванская (jv)
грузінская (ka)
казахская (kk)
каннада (kn)
карэйская (ko)
курдская (ku)
лацінская (la)
лінгала (ln)
лаоская (lo)
монга (lol)
літоўская (lt)
луо (luo)
латышская (lv)
мандынга (man)
масаі (mas)
мендэ (men)
мальгашская (mg)
македонская (mk)
малаяламская (ml)
мангольская (mn)
мосі (mos)
маратхі (mr)
малайская (ms)
мальтыйская (mt)
нарвэская букмал (nb)
непальская (ne)
галандская (nl)
фламандская (nl_BE)
нарвежская (нюнорск) (nn)
нарвежская (no)
нагайская (nog)
старанарвежская (non)
правансальская (oc)
аджыбве (oj)
орыя (or)
асецінская (os)
панджабі (pa)
стараперсідская (peo)
фінікійская (phn)
польская (pl)
стараправансальская (pro)
пушту (ps)
партугальская (pt)
партугальская (бразіл.) (pt_BR)
кечуа (qu)
раджастханская (raj)
рэта-раманская (rm)
румынская (ro)
малдаўская (ro_MD)
руская (ru)
санскрыт (sa)
якуцкая (sah)
сіндхі (sd)
стараірландская (sga)
сербска-харвацкая (sh)
сінгальская (si)
славацкая (sk)
славенская (sl)
самалійская (so)
албанская (sq)
сербская (sr)
суданская (su)
шумерская (sux)
шведская (sv)
суахілі (sw)
тамільская (ta)
тэлугу (te)
таджыкская (tg)
тайская (th)
тыгрынья (ti)
туркменская (tk)
клінгон (tlh)
турэцкая (tr)
татарская (tt)
тувінская (tyv)
уйгурская (ug)
украінская (uk)
невядомая мова (und)
урду (ur)
узбекская (uz)
в'етнамская (vi)
валапюк (vo)
хоса (xh)
ідыш (yi)
сапатэкаў (zap)
кітайская (zh)
спрошчаная кітайская (zh_Hans)
традыцыйная кітайская (zh_Hant)
зулу (zu)
