aa,афар
ab,абхазки
ace,ачински
ach,аколи
ada,адангме
ady,адиге
ae,авестски
af,африканс
afh,африхили
ain,айну
ak,акан
akk,акадски
ale,алеутски
alt,южноалтайски
am,амхарски
an,арагонски
ang,староанглийски
anp,ангика
ar,арабски
ar_001,съвременен стандартен арабски
arc,арамейски
arn,мапуче
arp,арапахо
arw,аравак
as,асамски
ast,астурски
av,аварски
awa,авади
ay,аймара
az,азербайджански
ba,башкирски
bal,балучи
ban,балинейски
bas,баса
be,беларуски
bej,бея
bem,бемба
bg,български
bho,божпури
bi,бислама
bik,биколски
bin,бини
bla,сиксика
bm,бамбара
bn,бенгалски
bo,тибетски
br,бретонски
bra,брадж
bs,босненски
bua,бурятски
bug,бугински
byn,биленски
ca,каталонски
cad,каддо
car,карибски
cch,атсам
ce,чеченски
ceb,себуано
ch,чаморо
chb,чибча
chg,чагатай
chk,чуук
chm,марийски
chn,жаргон чинуук
cho,чокто
chp,чиипувски
chr,чероки
chy,чейенски
ckb,кюрдски (сорани)
co,корсикански
cop,коптски
cr,крии
crh,кримскотатарски
cs,чешки
csb,кашубски
cu,църковно славянски
cv,чувашки
cy,уелски
da,датски
dak,дакотски
dar,даргва
de,немски
de_AT,австрийски немски
de_CH,швейцарски горногермански
del,делауер
den,слейви
dgr,догриб
din,динка
doi,догри
dsb,долносербски
dua,дуала
dum,средновековен холандски
dv,дивехи
dyu,диула
dz,дзонха
ee,еуе
efi,ефик
egy,египетски
eka,екажук
el,гръцки
elx,еламитски
en,английски
en_AU,австралийски английски
en_CA,канадски английски
en_GB,британски английски
en_US,американски английски
enm,средновековен английски
eo,есперанто
es,испански
es_MX,мексикански испански
et,естонски
eu,баски
ewo,евондо
fa,персийски
fan,фанг
fat,фанти
ff,фула
fi,фински
fil,филипински
fj,фиджийски
fo,фарьорски
fon,фон
fr,френски
fr_CA,канадски френски
fr_CH,швейцарски френски
frm,средновековен френски
fro,старофренски
frr,северен фризски
frs,източен фризски
fur,фриулиански
fy,фризийски
ga,ирландски
gaa,га
gay,гайо
gba,гбая
gd,шотландски галски
gez,гииз
gil,гилбертски
gl,галисийски
gmh,средновековен немски
gn,гуарани
goh,старовисоконемски
gon,гонди
gor,горонтало
got,готически
grb,гребо
grc,древногръцки
gsw,швейцарски немски
gu,гуджарати
gv,манкски
gwi,гвичин
ha,хауза
hai,хайда
haw,хавайски
he,иврит
hi,хинди
hil,хилигайнон
hit,хитски
hmn,хмонг
ho,хири моту
hr,хърватски
hsb,горносербски
ht,хаитянски
hu,унгарски
hup,хупа
hy,арменски
hz,хереро
ia,интерлингва
iba,ибан
id,индонезийски
ie,оксидентал
ig,игбо
ii,сечуански
ik,инупиак
ilo,илоко
inh,ингушетски
io,идо
is,исландски
it,италиански
iu,инуктитут
ja,японски
jbo,лоджбан
jpr,еврейско-персийски
jrb,еврейско-арабски
jv,явански
ka,грузински
kaa,каракалпашки
kab,кабилски
kac,качински
kaj,жжи
kam,камба
kaw,кави
kbd,кабардиан
kcg,туап
kfo,коро
kg,конгоански
kha,кхаси
kho,котски
ki,кикуйу
kj,кваняма
kk,казахски
