akankan (ak)
amarikikan (am)
larabukan (ar)
biyelorisikan (be)
buligarikan (bg)
bamanakan (bm)
bɛngalikan (bn)
cɛkikan (cs)
alimaɲikan (de)
gɛrɛsikan (el)
angilɛkan (en)
esipaɲolkan (es)
perisanikan (fa)
tubabukan (fr)
awusakan (ha)
inidikan (hi)
oŋirikan (hu)
Ɛndonezikan (id)
igibokan (ig)
italikan (it)
zapɔnekan (ja)
javanekan (jv)
kambojikan (km)
korekan (ko)
malɛzikan (ms)
birimanikan (my)
nepalekan (ne)
olandekan (nl)
pɛnijabikan (pa)
polonekan (pl)
pɔritigalikan (pt)
rumanikan (ro)
irisikan (ru)
ruwandakan (rw)
somalikan (so)
suwɛdikan (sv)
tamulikan (ta)
tayikan (th)
turikikan (tr)
ukɛrɛnikan (uk)
urudukan (ur)
wiyɛtinamukan (vi)
yorubakan (yo)
siniwakan (zh)
zulukan (zu)
