aa,afarski
ab,abkazijski
ace,ačineski
ach,akoli
ada,adangmejski
ady,adigejski
ae,avestanski
af,afrikanerski
afh,afrihili
ain,ainu
ak,akan
akk,akadijski
ale,aljut
alt,južni altai
am,amharski
an,aragonežanski
ang,staroengleski
anp,angika
ar,arapski
arc,armajski
arn,arokanijski
arp,arapaho
arw,aravak
as,asemijski
ast,asturijski
av,avarski
awa,avadhi
ay,ajmara
az,azerbejdžanski
ba,baškir
bal,baluči
ban,balinezijski
bas,basa
be,beloruski
bej,beja
bem,bemba
bg,bugarski
bho,bojpuri
bi,bislama
bik,bikol
bin,bini
bla,siksika
bm,bambara
bn,bengalski
bo,tibetanski
br,bretonski
bra,braj
bs,bosanski
bua,buriat
bug,buginežanskii
byn,blin
ca,katalonski
cad,kado
car,karipski
cch,atsam
ce,čečenski
ceb,cebuano
ch,čamoro
chb,čibča
chg,čagatai
chk,čukeski
chm,mari
chn,činukski
cho,čoktavski
chp,čipvijanski
chr,čeroki
chy,čejenski
co,korzikanski
cop,koptski
cr,kri
crh,krimeanski turski
cs,češki
csb,kašubijanski
cu,staroslovenski
cv,čuvaški
cy,velški
da,danski
dak,dakota
dar,dargva
de,njemački
del,delaver
den,slavski
dgr,dogrib
din,dinka
doi,dogri
dsb,niski sorbijanski
dua,duala
dum,srednji holandski
dv,divehijski
dyu,đula
dz,džonga
ee,eve
efi,efikski
egy,staroegipatski
eka,ekajuk
el,grčki
elx,elamitski
en,engleski
enm,srednji engleski
eo,esperanto
es,španjolski
et,estonski
eu,baskijski
ewo,evondo
fa,persijski
fan,fang
fat,fanti
ff,fulah
fi,finski
fil,filipinski
fj,fidžijski
fo,farski
fon,fon
fr,francuski
frm,srednji francuski
fro,starofrancuski
frr,severno-frizijski
frs,istočni frizijski
fur,friulijski
fy,frizijski
ga,irski
gaa,ga
gay,gajo
gba,gbaja
gd,škotski galski
gez,džiz
gil,gilbertški
gl,galski
gmh,srednji visoki nemački
gn,gvarani
goh,staronemački
gon,gondi
gor,gorontalo
got,gotski
grb,grebo
grc,starogrčki
gsw,švajcarsko nemački
gu,gudžarati
gv,manks
ha,hausa
