Orukani (ak)
Orumariki (am)
Oruharabu (ar)
Oruberarusi (be)
Oruburugariya (bg)
Orubengari (bn)
Rukiga (cgg)
Oruceeki (cs)
Orugirimaani (de)
Oruguriiki (el)
Orungyereza (en)
Orusupaani (es)
Orupaasiya (fa)
Orufaransa (fr)
Oruhausa (ha)
Oruhindi (hi)
Oruhangare (hu)
Oruindonezia (id)
Oruibo (ig)
Oruyitare (it)
Orujapaani (ja)
Orujava (jv)
Orukambodiya (km)
Orukoreya (ko)
Orumalesiya (ms)
Oruburuma (my)
Orunepali (ne)
Orudaaki (nl)
Orupungyabi (pa)
Orupoori (pl)
Orupocugo (pt)
Oruromania (ro)
Orurrasha (ru)
Orunyarwanda (rw)
Orusomaari (so)
Oruswidi (sv)
Orutamiri (ta)
Orutailandi (th)
Orukuruki (tr)
Orukuraini (uk)
Oru-Urudu (ur)
Oruviyetinaamu (vi)
Oruyoruba (yo)
Oruchaina (zh)
Oruzuru (zu)
