afar (aa)
abkhasisk (ab)
achinesisk (ace)
acoli (ach)
adangme (ada)
adyghe (ady)
avestan (ae)
afrikaans (af)
afrihili (afh)
aghem (agq)
ainu (ain)
akan (ak)
akkadisk (akk)
aleutisk (ale)
sydaltaisk (alt)
amharisk (am)
aragonesisk (an)
oldengelsk (ang)
angika (anp)
arabisk (ar)
moderne standardarabisk (ar_001)
aramæisk (arc)
mapudungun (arn)
arapaho (arp)
arawak (arw)
assamesisk (as)
asu (asa)
asturisk (ast)
avarisk (av)
awadhi (awa)
aymara (ay)
aserbajdsjansk (az)
bashkir (ba)
baluchi (bal)
balinesisk (ban)
basaa (bas)
bamun (bax)
ghomala (bbj)
hviderussisk (be)
beja (bej)
bemba (bem)
bena (bez)
bafut (bfd)
bulgarsk (bg)
vestbaluchi (bgn)
bhojpuri (bho)
bislama (bi)
bikol (bik)
bini (bin)
kom (bkm)
siksika (bla)
bambara (bm)
bengali (bn)
tibetansk (bo)
bretonsk (br)
braj (bra)
bodo (brx)
bosnisk (bs)
bakossi (bss)
buriatisk (bua)
buginesisk (bug)
bulu (bum)
blin (byn)
medumba (byv)
catalansk (ca)
caddo (cad)
caribisk (car)
cayuga (cay)
atsam (cch)
tjetjensk (ce)
cebuano (ceb)
chiga (cgg)
chamorro (ch)
chibcha (chb)
chagatai (chg)
chuukese (chk)
mari (chm)
chinook (chn)
choctaw (cho)
chipewyan (chp)
cherokee (chr)
cheyenne (chy)
sorani (ckb)
korsikansk (co)
koptisk (cop)
cree (cr)
krim-tyrkisk (crh)
seselwa (kreol-fransk) (crs)
tjekkisk (cs)
kasjubisk (csb)
kirkeslavisk (cu)
chuvash (cv)
walisisk (cy)
dansk (da)
dakota (dak)
dargwa (dar)
taita (dav)
tysk (de)
østrigsk tysk (de_AT)
schweizerhøjtysk (de_CH)
delaware (del)
athapaskisk (den)
dogrib (dgr)
dinka (din)
zarma (dje)
dogri (doi)
nedersorbisk (dsb)
duala (dua)
middelhollandsk (dum)
divehi (dv)
jola-fonyi (dyo)
dyula (dyu)
dzongkha (dz)
dazaga (dzg)
kiembu (ebu)
ewe (ee)
efik (efi)
oldegyptisk (egy)
ekajuk (eka)
græsk (el)
elamitisk (elx)
engelsk (en)
australsk engelsk (en_AU)
