akan (ak)
amharik (am)
arab (ar)
belarus (be)
bulgaari (bg)
bengali (bn)
sek (cs)
alman (de)
joola (dyo)
greek (el)
angle (en)
español (es)
persan (fa)
franse (fr)
hausa (ha)
endu (hi)
ongrua (hu)
indoneesi (id)
igbo (ig)
italien (it)
saponee (ja)
savanee (jv)
kmeer (km)
koree (ko)
maleesi (ms)
birmani (my)
nepalees (ne)
neerlande (nl)
penjabi (pa)
polonees (pl)
portugees (pt)
rumeen (ro)
rus (ru)
ruanda (rw)
somali (so)
suedi (sv)
tamil (ta)
tay (th)
turki (tr)
ukrain (uk)
urdu (ur)
vietnam (vi)
yoruba (yo)
sinua (zh)
sulu (zu)
