ཨ་ཕར་ཁ (aa)
ཨཱབ་ཁ་ཟི་ཡ་ཁ (ab)
ཨཕ་རི་ཀཱནས་ཁ (af)
ཨམ་ཧ་རིཀ་ཁ (am)
ཨེ་ར་བིཀ་ཁ (ar)
བཟོ་བཟོཝ (གཞན) (art)
ཨ་ས་མིས་ཁ (as)
ཨ་ཛར་བྷའི་ཇཱན་ཁ (az)
བེལ་ཨ་རུས་ཁ (be)
བཱལ་གེ་རི་ཡཱན་ཁ (bg)
བི་ཧ་ལི (bh)
བངྒ་ལ་ཁ (bn)
བོད་ཁ (bo)
བྷོས་ནི་ཡཱན་ཁ (bs)
ཀེ་ཊ་ལཱན་ཁ (ca)
ཅེཀ་ཁ (cs)
ཝེལཤ་ཁ (cy)
ཌེ་ནིཤ་ཁ (da)
ད་ཀོ་ཏ་ཁ (dak)
ཇཱར་མཱན་ཁ (de)
ཨཱོས་ཊྲི་ཡཱན་ཇཱར་མཱན་ཁ (de_AT)
སུ་ཡིས་གི་མཐོ་སའི་ཇཱར་མཱན་ཁ (de_CH)
དི་བེ་ཧི་ཁ (dv)
རྫོང་ཁ (dz)
ཨི་ཇིཔ་ཤཱན (སྔ་དུས་ཀྱི) (egy)
གྲིཀ་ཁ (el)
ཨིང་ལིཤ་ཁ (en)
ཨཱོས་ཊྲེ་ལི་ཡཱན་ཨིང་ལིཤ་ཁ (en_AU)
ཀེ་ན་ཌི་ཡཱན་ཨིང་ལིཤ་ཁ (en_CA)
བྲི་ཊིཤ་ཨིང་ལིཤ་ཁ (en_GB)
ཡུ་ཨེས་ཨིང་ལིཤ་ཁ (en_US)
ཨེས་པ་རཱན་ཏོ་ཁ (eo)
ཨིས་པེ་ནིཤ་ཁ (es)
ལེ་ཊིན་ཨ་མེ་རི་ཀཱན་གི་ཨིས་པེ་ནིཤ་ཁ (es_419)
ཡུ་རོབ་ཀྱི་ཨིས་པེ་ནིཤ་ཁ (es_ES)
ཨེས་ཊོ་ནི་ཡཱན་ཁ (et)
བཱསཀ་ཁ (eu)
པར་ཤི་ཡཱན་ཁ (fa)
ཕི་ནིཤ་ཁ (fi)
ཕི་ལི་པི་ནོ་ཁ (fil)
ཕི་ཇི་ཡཱན་ཁ (fj)
ཕཱ་རོ་ཨིས་ཁ (fo)
ཕྲནཅ་ཁ (fr)
ཀེ་ན་ཌི་ཡཱན་ཕྲནཅ་ཁ (fr_CA)
སུ་ཡིས་ཕྲནཅ་ཁ (fr_CH)
ནུབ་ཕྼི་སི་ཡན་ཁ (fy)
ཨཱའི་རིཤ་ཁ (ga)
གལ་ཨིས་ཨི་ཡན་ཁ (gl)
གུ་ཝ་ར་ནི་ཁ (gn)
གིརིཀ, སྔ་དུས་ཀྱི (༡༤༥༣) (grc)
སུ་ཡིས་ཇཱར་མཱན་ཁ (gsw)
གུ་ཇ་ར་ཏི་ཁ (gu)
ཧཝ་ས་ཁ (ha)
ཧ་ཝ་ཡིའི་ཁ (haw)
ཧེ་བྲུ་ཁ (he)
ཧིན་དི་ཁ (hi)
ཧི་མ་ཅ་ལི་ཁ (him)
ཀྲོ་ཨེ་ཤི་ཡཱན་ཁ (hr)
ཧེ་ཏི་ཡཱན་ཁ (ht)
ཧཱང་གྷ་རི་ཡཱན་ཁ (hu)
ཨར་མི་ནི་ཡཱན་ཁ (hy)
ཨིན་ཌོ་ནེ་ཤི་ཡཱན་ཁ (id)
ཨིག་བོ་ཁ (ig)
ཨིན་ཌིཀ་ཁ་སྐད (inc)
