Kĩakan (ak)
Kĩamhari (am)
Kĩarabu (ar)
Kĩmbelarusi (be)
Kĩbulgaria (bg)
Kĩbangla (bn)
Kĩcheki (cs)
Kĩnjeremani (de)
Kĩembu (ebu)
Kĩngriki (el)
Kĩthungu (en)
Kĩhispania (es)
Kĩanjemi (fa)
Kĩfaransa (fr)
Kĩhausa (ha)
Kĩhindĩ (hi)
Kĩhungari (hu)
Kĩindonesia (id)
Kĩigbo (ig)
Kĩitaliano (it)
Kĩnjapani (ja)
Kĩjava (jv)
Kĩkambodia (km)
Kĩkorea (ko)
Kĩmalesia (ms)
Kĩburma (my)
Kĩnepali (ne)
Kĩholanzi (nl)
Kĩpunjabi (pa)
Kĩpolandi (pl)
Kĩreno (pt)
Kĩromania (ro)
Kĩrusi (ru)
Kĩnyarwanda (rw)
Kĩsomali (so)
Kĩswidi (sv)
Kĩtamil (ta)
Kĩtailandi (th)
Kĩturuki (tr)
Kĩukrania (uk)
Kĩurdu (ur)
Kĩvietinamu (vi)
Kĩyoruba (yo)
Kĩchina (zh)
Kĩzulu (zu)
