ab,abkhaziagbe
ady,adyghegbe
af,afrikaangbe
agq,aghemgbe
ak,blugbe
am,amhariagbe
ar,arabiagbe
as,assamegbe
asa,asagbe
ast,asturiagbe
av,avariagbe
ay,aymargbe
az,azerbaijangbe
ba,bashkigbe
bas,basaagbe
bax,bamugbe
bbj,ghomalagbe
be,belarusiagbe
bem,bembagbe
bez,benagbe
bfd,bafutgbe
bg,bulgariagbe
bi,bislamagbe
bkm,komgbe
bm,bambaragbe
bn,bengalgbe
bo,tibetagbe
br,bretongbe
brx,bodogbe
bs,bosniagbe
bss,akoosiagbe
bum,bulugbe
byv,medumbagbe
ca,katalagbe
ceb,Sebuanogbe
ch,kamorrogbe
chk,tsukesegbe
chm,tsetsniagbe
cs,tsɛkgbe
cy,walesgbe
da,denmarkgbe
de,germaniagbe
de_AT,austriatɔwo ƒe germaniagbe
de_CH,swizerlanɖ germaniagbe kɔkɔtɔ
dje,zamagbe
dua,dualagbe
dv,divehgbe
dyo,dzola-fonyigbe
dz,dzongkhagbe
ebu,embugbe
ee,eʋegbe
efi,efigbe
el,grisigbe
en,yevugbe
en_AU,australiatɔwo ƒe yevugbe
en_CA,kanadatɔwo ƒe yevugbe
en_GB,britaintɔwo ƒe yevugbe
en_US,u.s.dukɔmetɔwo ƒe yevugbe
eo,esperantogbe
es,spaniagbe
es_419,latin amerikatɔwo ƒe spaniagbe
es_ES,iberiatɔwo ƒe spaniagbe
et,estoniagbe
eu,basqugbe
ewo,ewondogbe
fa,persiagbe
fan,fangbe
ff,fulagbe
fi,finlanɖgbe
fil,filipingbe
fj,fidzigbe
fo,faroegbe
fr,fransegbe
fr_CA,kanadatɔwo ƒe fransegbe
fr_CH,swizerlanɖtɔwo ƒe fransegbe
fy,ɣetoɖoƒe frisiagbe
ga,irelanɖgbe
gaa,gɛgbe
gd,skɔtlanɖ gaeliagbe
gil,gilbertgbe
gl,galatagbe
gn,guarangbe
gsw,swizerlanɖtɔwo ƒe germaniagbe
gu,gujarati
ha,hausagbe
haw,hawaigbe
he,hebrigbe
hi,hindigbe
hil,hiligenɔgbe
ho,hiri motugbe
hr,kroatiagbe
ht,haitigbe
hu,hungarigbe
hy,armeniagbe
ibb,ibibiogbe
id,indonesiagbe
ig,igbogbe
ilo,ilikogbe
inh,ingusigbe
is,icelanɖgbe
it,italiagbe
ja,dzapangbe
jv,dzavangbe
ka,gɔgiagbe
kbd,kabardiagbe
kea,cape verdegbe
kg,kongogbe
kha,khasigbe
kj,kunyamagbe
kk,kazakhstangbe
kkj,kakogbe
kl,kalaalisugbe
km,khmergbe
kn,kannadagbe
ko,koreagbe
kok,konkaniagbe
kos,kosraeagbe
kr,kanuriagbe
krc,karakay-bakargbe
ks,kashmirgbe
ksf,bafiagbe
ku,kurdiagbe
kum,kumikagbe
ky,kirghistangbe
la,latin
lah,lahndagbe
lb,laksembɔggbe
lez,lezghiagbe
ln,lingala
lo,laogbe
lt,lithuaniagbe
lu,luba-katangagbe
lua,luba-lulugbe
luy,luyiagbe
lv,latviagbe
maf,mafagbe
mai,maitiligbe
mdf,moktsiagbe
mg,malagasegbe
mgh,makuwa-mitogbe
mh,marshalgbe
mi,maorgbe
mk,makedoniagbe
ml,malayagbe
mn,mongoliagbe
mr,marathiagbe
ms,malaygbe
mt,maltagbe
mua,mundangbe
mul,gbegbɔgblɔ sɔgbɔwo
my,burmagbe
mye,myenegbe
myv,erziyagbe
na,naurugbe
nb,nɔweigbe bokmål
nd,dziehe ndebelegbe
ne,nepalgbe
niu,niuegbe
nl,hɔlandgbe
nl_BE,flemiagbe
nmg,kwasiogbe
nn,nɔweigbe ninɔsk
nnh,ngiemboongbe
no,nɔweigbe
nr,anyiehe ndebelegbe
nso,dziehe sothogbe
nus,nuergbe
ny,nyanjagbe
or,oriyagbe
os,ossetiagbe
pa,pundzabgbe
pag,pangsinagbe
pap,papiamentogbe
pau,paluagbe
pl,polandgbe
pon,ponpeiagbe
ps,pashtogbe
pt,pɔtugalgbe
pt_BR,braziltɔwo ƒe portugalgbe
pt_PT,iberiatɔwo ƒe portugalgbe
qu,kwetsuagbe
rm,romanshgbe
rn,rundigbe
ro,romaniagbe
rof,rombogbe
ru,rɔtsiagbe
rw,ruwandagbe
rwk,rwagbe
sa,sanskrigbe
sah,sakagbe
sat,santaligbe
sbp,sangugbe
sd,sindhgbe
se,dziehe samigbe
sg,sangogbe
sh,serbo-croatiagbe
si,sinhalgbe
sk,slovakiagbe
sl,sloveniagbe
sm,samoagbe
sn,shonagbe
so,somaliagbe
sq,albaniagbe
sr,serbiagbe
ss,swatgbe
st,anyiehe sothogbe
su,sudangbe
sv,swedengbe
sw,swahili
swb,komorogbe
ta,tamilgbe
te,telegugbe
tet,tetumgbe
tg,tadzikistangbe
th,tailandgbe
ti,tigrinyagbe
tk,tɛkmengbe
tkl,tokelaugbe
tl,tagalogbe
