afara (aa)
abĥaza (ab)
afrikansa (af)
akana (ak)
amhara (am)
araba (ar)
moderna norma araba (ar_001)
mapuĉa (arn)
asama (as)
ajmara (ay)
azerbajĝana (az)
baŝkira (ba)
belorusa (be)
bulgara (bg)
bislamo (bi)
bambara (bm)
bengala (bn)
tibeta (bo)
bretona (br)
bodoa (brx)
bosnia (bs)
kataluna (ca)
ĉeroka (chr)
sorana (ckb)
korsika (co)
ĉeĥa (cs)
kimra (cy)
dana (da)
germana (de)
aŭstra germana (de_AT)
svisa germana (de_CH)
malsuprasoraba (dsb)
mahla (dv)
dzonko (dz)
ibibioefika (efi)
greka (el)
angla (en)
aŭstralia angla (en_AU)
kanada angla (en_CA)
brita angla (en_GB)
usona angla (en_US)
esperanto (eo)
hispana (es)
amerika hispana (es_419)
eŭropa hispana (es_ES)
meksika hispana (es_MX)
estona (et)
eŭska (eu)
persa (fa)
finna (fi)
filipina (fil)
fiĝia (fj)
feroa (fo)
franca (fr)
kanada franca (fr_CA)
svisa franca (fr_CH)
frisa (fy)
irlanda (ga)
gaela (gd)
galega (gl)
gvarania (gn)
guĝarata (gu)
haŭsa (ha)
havaja (haw)
hebrea (he)
hinda (hi)
kroata (hr)
haitia kreola (ht)
hungara (hu)
armena (hy)
interlingvao (ia)
indonezia (id)
okcidentalo (ie)
eskima (ik)
islanda (is)
itala (it)
inuita (iu)
japana (ja)
java (jv)
kartvela (ka)
kazaĥa (kk)
gronlanda (kl)
kmera (km)
kanara (kn)
korea (ko)
kaŝmira (ks)
kurda (ku)
kirgiza (ky)
latino (la)
luksemburga (lb)
lingala (ln)
laŭa (lo)
litova (lt)
latva (lv)
malagasa (mg)
maoria (mi)
makedona (mk)
malajalama (ml)
mongola (mn)
marata (mr)
malaja (ms)
malta (mt)
pluraj lingvoj (mul)
birma (my)
naura (na)
dannorvega (nb)
nepala (ne)
nederlanda (nl)
flandra (nl_BE)
novnorvega (nn)
norvega (no)
okcitana (oc)
oroma (om)
orijo (or)
panĝaba (pa)
pola (pl)
paŝtoa (ps)
portugala (pt)
brazilportugala (pt_BR)
eŭropportugala (pt_PT)
keĉua (qu)
romanĉa (rm)
burunda (rn)
rumana (ro)
rusa (ru)
ruanda (rw)
sanskrito (sa)
sinda (sd)
sangoa (sg)
serbo-Kroata (sh)
sinhala (si)
slovaka (sk)
slovena (sl)
samoa (sm)
ŝona (sn)
somala (so)
albana (sq)
serba (sr)
svazia (ss)
sota (st)
sunda (su)
sveda (sv)
svahila (sw)
tamila (ta)
telugua (te)
taĝika (tg)
taja (th)
tigraja (ti)
turkmena (tk)
tagaloga (tl)
klingona (tlh)
cvana (tn)
tongaa (to)
turka (tr)
conga (ts)
tatara (tt)
tw (tw)
ujgura (ug)
ukraina (uk)
nekonata lingvo (und)
urduo (ur)
uzbeka (uz)
vjetnama (vi)
volapuko (vo)
volofa (wo)
ksosa (xh)
jida (yi)
joruba (yo)
ĝuanga (za)
ĉina (zh)
ĉina simpligita (zh_Hans)
ĉina tradicia (zh_Hant)
zulua (zu)
nelingvaĵo (zxx)
