afari (aa)
abhaasi (ab)
atšehi (ace)
akoli (ach)
adangme (ada)
adõgee (ady)
avesta (ae)
afrikaani (af)
afrihili (afh)
aghemi (agq)
ainu (ain)
akani (ak)
akadi (akk)
aleuudi (ale)
altai (alt)
amhari (am)
aragoni (an)
vanainglise (ang)
angika (anp)
araabia (ar)
araabia (tänapäevane) (ar_001)
aramea (arc)
araukaani (arn)
arapaho (arp)
aravaki (arw)
assami (as)
asa (asa)
astuuria (ast)
avaari (av)
avadhi (awa)
aimara (ay)
aserbaidžaani (az)
baškiiri (ba)
belutši (bal)
bali (ban)
basa (bas)
bamuni (bax)
ghomala (bbj)
valgevene (be)
bedža (bej)
bemba (bem)
bena (bez)
bafuti (bfd)
bulgaaria (bg)
bhodžpuri (bho)
bislama (bi)
bikoli (bik)
edo (bin)
itaŋikomi (bkm)
siksika (bla)
bambara (bm)
bengali (bn)
tiibeti (bo)
bretooni (br)
bradži (bra)
bodo (brx)
bosnia (bs)
akoose (bss)
burjaadi (bua)
bugi (bug)
bulu (bum)
bilini (byn)
medumba (byv)
katalaani (ca)
kado (cad)
kariibi (car)
cayuga (cay)
atsami (cch)
tšetšeeni (ce)
sebu (ceb)
chiga (cgg)
tšamorro (ch)
tšibtša (chb)
tšagatai (chg)
tšuugi (chk)
mari (chm)
tšinuki žargoon (chn)
tšokto (cho)
tšipevai (chp)
tšerokii (chr)
šaieeni (chy)
sorani kurdi (ckb)
korsika (co)
kopti (cop)
krii (cr)
krimmitatari (crh)
tšehhi (cs)
kašuubi (csb)
kirikuslaavi (cu)
tšuvaši (cv)
kõmri (cy)
taani (da)
siuu (dak)
dargi (dar)
taita (dav)
saksa (de)
saksa (kõrgsaksa) (de_CH)
delavari (del)
sleivi (den)
dogribi (dgr)
dinka (din)
zarma (dje)
dogri (doi)
alamsorbi (dsb)
duala (dua)
keskhollandi (dum)
maldiivi (dv)
jola-fonyi (dyo)
djula (dyu)
dzongkha (dz)
dazaga (dzg)
embu (ebu)
eve (ee)
efiki (efi)
muinasegiptuse (egy)
ekadžuki (eka)
kreeka (el)
eelami (elx)
inglise (en)
inglise (Briti) (en_GB)
inglise (USA) (en_US)
keskinglise (enm)
esperanto (eo)
hispaania (es)
hispaania (Euroopa) (es_ES)
eesti (et)
baski (eu)
evondo (ewo)
pärsia (fa)
fangi (fan)
fanti (fat)
fulbe (ff)
soome (fi)
filipino (fil)
fidži (fj)
fääri (fo)
foni (fon)
prantsuse (fr)
keskprantsuse (frm)
vanaprantsuse (fro)
põhjafriisi (frr)
idafriisi (frs)
friuuli (fur)
läänefriisi (fy)
iiri (ga)
gaa (gaa)
gagauusi (gag)
gajo (gay)
gbaja (gba)
gaeli (gd)
etioopia (gez)
kiribati (gil)
galeegi (gl)
keskülemsaksa (gmh)
guaranii (gn)
vanaülemsaksa (goh)
gondi (gon)
gorontalo (gor)
gooti (got)
grebo (grb)
vanakreeka (grc)
šveitsisaksa (gsw)
gudžarati (gu)
gusii (guz)
mänksi (gv)
gvitšini (gwi)
hausa (ha)
haida (hai)
havai (haw)
heebrea (he)
hindi (hi)
hiligainoni (hil)
heti (hit)
hmongi (hmn)
motu (ho)
horvaadi (hr)
ülemsorbi (hsb)
haiti (ht)
ungari (hu)
hupa (hup)
armeenia (hy)
herero (hz)
interlingua (ia)
ibani (iba)
ibibio (ibb)
indoneesia (id)
interlingue (ie)
ibo (ig)
sichuani jii (ii)
injupiaki (ik)
iloko (ilo)
inguši (inh)
ido (io)
islandi (is)
itaalia (it)
inuktituti (iu)
jaapani (ja)
lojbani (jbo)
ngomba (jgo)
machame (jmc)
juudipärsia (jpr)
juudiaraabia (jrb)
jaava (jv)
gruusia (ka)
karakalpaki (kaa)
kabiili (kab)
katšini (kac)
jju (kaj)
kamba (kam)
kaavi (kaw)
kabardi-tšerkessi (kbd)
kanembu (kbl)
tyapi (kcg)
makonde (kde)
kabuverdianu (kea)
koro (kfo)
kongo (kg)
khasi (kha)
saki (kho)
koyra chiini (khq)
kikuju (ki)
ambo (kj)
kasahhi (kk)
kako (kkj)
grööni (kl)
kaljenjin (kln)
khmeeri (km)
mbundu (kmb)
kannada (kn)
korea (ko)
permikomi (koi)
konkani (kok)
kosrae (kos)
kpelle (kpe)
kanuri (kr)
karatšai-balkaari (krc)
karjala (krl)
oraoni (kru)
kašmiiri (ks)
shambala (ksb)
bafia (ksf)
cologniani (ksh)
kurdi (ku)
kumõki (kum)
kutenai (kut)
komi (kv)
korni (kw)
kirgiisi (ky)
ladina (la)
ladiino (lad)
langi (lag)
lahnda (lah)
lamba (lam)
letseburgi (lb)
lesgi (lez)
ganda (lg)
limburgi (li)
lakota (lkt)
lingala (ln)
lao (lo)
mongo (lol)
lozi (loz)
leedu (lt)
luba (lu)
luba-lulua (lua)
luisenjo (lui)
lunda (lun)
luo (luo)
lušei (lus)
luyia (luy)
läti (lv)
madura (mad)
mafa (maf)
magali (mag)
maithili (mai)
makassari (mak)
malinke (man)
masai (mas)
maba (mde)
mokša (mdf)
mandari (mdr)
mende (men)
meru (mer)
Mauritiuse kreoolkeel (mfe)
malagassi (mg)
keskiiri (mga)
makhuwa-meetto (mgh)
meta’ (mgo)
maršalli (mh)
maoori (mi)
mikmaki (mic)
minangkabau (min)
makedoonia (mk)
malajalami (ml)
mongoli (mn)
