abkhazera (ab)
Acholiera (ach)
afrikaansa (af)
Akanera (ak)
amharera (am)
arabiera (ar)
arabiera moderno estandarra (ar_001)
assamera (as)
aimara (ay)
azerbaijanera (az)
bielorrusiera (be)
Bembera (bem)
bulgariera (bg)
Bihariera (bh)
bengalera (bn)
tibetera (bo)
Bretoiera (br)
bosniera (bs)
katalana (ca)
Txerokiera (chr)
Soraniera (ckb)
Korsikera (co)
txekiera (cs)
galesera (cy)
daniera (da)
alemana (de)
aleman garaia (Suitza) (de_CH)
divehiera (dv)
dzongkha (dz)
Eweera (ee)
efikera (efi)
greziera (el)
ingelesa (en)
ingelesa (AEB) (en_US)
esperantoa (eo)
espainiera (es)
espainiera (Europa) (es_ES)
estoniera (et)
euskara (eu)
persiera (fa)
finlandiera (fi)
tagaloga (fil)
fijiera (fj)
faroera (fo)
frantsesa (fr)
frisiera (fy)
gaelikoa (ga)
Ga (gaa)
eskoziako gaelikoa (gd)
galiziera (gl)
guaraniera (gn)
alemana (Suitza) (gsw)
gujaratera (gu)
hausa (ha)
hawaiiera (haw)
hebreera (he)
hindia (hi)
kroaziera (hr)
haitiera (ht)
hungariera (hu)
armeniera (hy)
Interlingua (ia)
indonesiera (id)
interlingue (ie)
igboera (ig)
islandiera (is)
italiera (it)
japoniera (ja)
javera (jv)
georgiera (ka)
Kikongoa (kg)
kazakhera (kk)
khemerera (km)
kannadera (kn)
koreera (ko)
kashmirera (ks)
kurduera (ku)
kirgizera (ky)
latina (la)
luxenburgera (lb)
Gandera (lg)
lingala (ln)
laosera (lo)
Loziera (loz)
lituaniera (lt)
Luba-lulua (lua)
letoniera (lv)
Mauritaniako kreolera (mfe)
malagasyera (mg)
maoriera (mi)
mazedoniera (mk)
malayalamera (ml)
mongoliera (mn)
marathera (mr)
malaysiera (ms)
maltera (mt)
hizkuntza anitzak (mul)
burmatarra (my)
bokmala (Norvegia) (nb)
iparraldeko ndebeleera (nd)
nepalera (ne)
nederlandera (nl)
flandriera (nl_BE)
nynorsk norvegiera (nn)
norvegiera (no)
pediera (nso)
nyanja (ny)
Ankolera (nyn)
Okzitaniera (oc)
Oromoera (om)
oriyera (or)
osetiera (os)
punjabera (pa)
poloniera (pl)
paxtuera (ps)
portugesa (pt)
portugesa (Europa) (pt_PT)
quechuera (qu)
erromantxera (rm)
rundiera (rn)
errumaniera (ro)
errusiera (ru)
kinyaruanda (rw)
sanskritoa (sa)
sindhia (sd)
iparraldeko samiera (se)
sangoera (sg)
serbokroaziera (sh)
sinhala (si)
eslovakiera (sk)
esloveniera (sl)
samoera (sm)
shonera (sn)
somaliera (so)
albaniera (sq)
serbiera (sr)
swatiera (ss)
hegoaldeko sothoera (st)
sundanera (su)
suediera (sv)
swahili (sw)
tamilera (ta)
teluguera (te)
tetuma (tet)
tajikistanera (tg)
thailandiera (th)
tigriñera (ti)
turkmeniera (tk)
tagalog (tl)
Klingonera (tlh)
tswanera (tn)
tongera (to)
tok pisina (tpi)
turkiera (tr)
tsongera (ts)
tatarera (tt)
Tumbukera (tum)
twia (tw)
tahitiera (ty)
uigurrera (ug)
ukrainera (uk)
hizkuntza ezezaguna (und)
urdua (ur)
uzbekera (uz)
vendera (ve)
vietnamera (vi)
wolofera (wo)
xhosera (xh)
Jiddisha (yi)
yorubera (yo)
tamazight estandarra (zgh)
txinera (zh)
txinera soildua (zh_Hans)
txinera tradizionala (zh_Hant)
zuluera (zu)
ez dago eduki linguistikorik (zxx)
