Akaan (ak)
Amarik (am)
Aarabeere (ar)
Belaruuse (be)
Bulgariire (bg)
Bengali (bn)
Cekkere (cs)
Docceere (de)
Gerke (el)
Engeleere (en)
Español (es)
Perseere (fa)
Pulaar (ff)
Farayseere (fr)
Hawsaŋkoore (ha)
Hinndi (hi)
Hongariire (hu)
Endonesiire (id)
Igiboore (ig)
Italiyeere (it)
Saponeere (ja)
Sawaneere (jv)
Kemeere (km)
Koreere (ko)
Malayeere (ms)
Burmeese (my)
Nepaaleere (ne)
Dacceere (nl)
Punjabeere (pa)
Poloneere (pl)
Purtugeere (pt)
Romaneere (ro)
Riis (ru)
Ruwaanndeere (rw)
Somalii (so)
Sweedeere (sv)
Tamil (ta)
Taay (th)
Turkeere (tr)
Ukereneere (uk)
Urdu (ur)
Wiyetnameere (vi)
Yorrubaa (yo)
Sinuwaare (zh)
Suluŋkoore (zu)
