abkhasiskt (ab)
afrikaans (af)
aghem (agq)
akan (ak)
amhariskt (am)
arabiskt (ar)
mapuche (arn)
assamesiskt (as)
asu (asa)
aymara (ay)
aserbajdsjanskt (az)
bashkir (ba)
hvitarussiskt (be)
bemba (bem)
bena (bez)
bulgarskt (bg)
vestur balochi (bgn)
bambara (bm)
bengalskt (bn)
tibetskt (bo)
bretonskt (br)
bodo (brx)
bosniskt (bs)
bakossi (bss)
katalani (ca)
tjetjenskt (ce)
chiga (cgg)
cherokee (chr)
miðkurdiskt (ckb)
korsikanskt (co)
kekkiskt (cs)
chuvash (cv)
walisiskt (cy)
danskt (da)
taita (dav)
týskt (de)
høgt týskt (Sveis) (de_CH)
sarma (dje)
lágt sorbian (dsb)
duala (dua)
divehi (dv)
jola-fonyi (dyo)
dzongkha (dz)
embu (ebu)
ewe (ee)
efik (efi)
grikskt (el)
enskt (en)
esperanto (eo)
spanskt (es)
estiskt (et)
baskiskt (eu)
persiskt (fa)
finskt (fi)
filipiniskt (fil)
fijimál (fj)
føroyskt (fo)
franskt (fr)
vestur frísiskt (fy)
írskt (ga)
gagauz (gag)
skotskt gæliskt (gd)
galisiskt (gl)
guarani (gn)
týskt (Sveis) (gsw)
gujarati (gu)
gusii (guz)
manx (gv)
hausa (ha)
hawaiianskt (haw)
hebraiskt (he)
hindi (hi)
kroatiskt (hr)
ovara sorbian (hsb)
haitiskt (ht)
ungarskt (hu)
armenskt (hy)
interlingua (ia)
indonesiskt (id)
interlingue (ie)
igbo (ig)
sichuan yi (ii)
íslendskt (is)
italskt (it)
inuktitut (iu)
japanskt (ja)
ngomba (jgo)
machame (jmc)
javanskt (jv)
georgiskt (ka)
kabyle (kab)
kamba (kam)
makonde (kde)
grønhøvdaoyggjarskt (kea)
koyra chiini (khq)
kikuyu (ki)
kazakh (kk)
kalaallisut (kl)
kalenjin (kln)
khmer (km)
kannada (kn)
koreanskt (ko)
komi-permyak (koi)
konkani (kok)
kashmiri (ks)
shambala (ksb)
bafia (ksf)
kurdiskt (ku)
corniskt (kw)
kyrgyz (ky)
latín (la)
langi (lag)
lahnda (lah)
luksemborgskt (lb)
ganda (lg)
lakota (lkt)
lingala (ln)
laoskt (lo)
norður luri (lrc)
litaviskt (lt)
luba-katanga (lu)
luo (luo)
luyia (luy)
lettiskt (lv)
masai (mas)
meru (mer)
morisyen (mfe)
malagassiskt (mg)
makhuwa-meetto (mgh)
metaʼ (mgo)
maori (mi)
makedónskt (mk)
malayalam (ml)
mongolskt (mn)
mohawk (moh)
marathi (mr)
malaiiskt (ms)
maltiskt (mt)
mundang (mua)
burmesiskt (my)
mazanderani (mzn)
nama (naq)
norskt bókmál (nb)
norður ndebele (nd)
lágt týskt (nds)
lágt saksiskt (nds_NL)
nepalskt (ne)
hálendskt (nl)
flamskt (nl_BE)
kwasio (nmg)
nýnorskt (nn)
norskt (no)
nʼko (nqo)
nuer (nus)
nyanja (ny)
nyankole (nyn)
occitan (oc)
oromo (om)
oriya (or)
ossetiskt (os)
punjabi (pa)
pólskt (pl)
pashto (ps)
portugiskiskt (pt)
portugiskiskt (Brasilia) (pt_BR)
portugiskiskt (Evropa) (pt_PT)
quechua (qu)
kʼicheʼ (quc)
retoromanskt (rm)
rundi (rn)
rumenskt (ro)
moldaviskt (ro_MD)
rombo (rof)
russiskt (ru)
kinyarwanda (rw)
rwa (rwk)
sanskrit (sa)
samburu (saq)
sangu (sbp)
sindhi (sd)
suður kurdiskt (sdh)
norður sámiskt (se)
sena (seh)
koyraboro senni (ses)
sango (sg)
serbokroatiskt (sh)
tachelhit (shi)
singalesiskt (si)
slovakiskt (sk)
slovenskt (sl)
samoiskt (sm)
suður sámiskt (sma)
lule sámiskt (smj)
inari sami (smn)
skolt sámiskt (sms)
shona (sn)
somaliskt (so)
albanskt (sq)
serbiskt (sr)
swatiskt (ss)
sesotho (st)
sundanesiskt (su)
svenskt (sv)
swahili (sw)
shimaoré (swb)
kongo svahili (swc)
tamilskt (ta)
telugu (te)
teso (teo)
tetum (tet)
tajik (tg)
tailendskt (th)
tigrinya (ti)
turkmenskt (tk)
tagalog (tl)
klingonskt (tlh)
tswana (tn)
tonganskt (to)
tok pisin (tpi)
turkiskt (tr)
tsonga (ts)
tatar (tt)
twi (tw)
tasawaq (twq)
tahitiskt (ty)
miðatlasfjøll tamazight (tzm)
uyghur (ug)
ukrainskt (uk)
ókent mál (und)
urdu (ur)
usbekiskt (uz)
vai (vai)
venda (ve)
vjetnamesiskt (vi)
vunjo (vun)
warlpiri (wbp)
wolof (wo)
xhosa (xh)
soga (xog)
jiddiskt (yi)
yoruba (yo)
kantonesískt (yue)
vanligt marokanskt tamazight (zgh)
kinesiskt (zh)
einkult kinesiskt (zh_Hans)
vanligt kinesiskt (zh_Hant)
sulu (zu)
einki málsligt innihald (zxx)
