Afar (aa)
Abchazysk (ab)
Atjeesk (ace)
Akoli (ach)
Adangme (ada)
Adyghe (ady)
Avestysk (ae)
Afrikaansk (af)
Afrihili (afh)
Aghem (agq)
Ainu (ain)
Akan (ak)
Akkadysk (akk)
Aleut (ale)
Sûd-Altaïsk (alt)
Amhaarsk (am)
Aragoneesk (an)
âldingelsk (ang)
Angika (anp)
Arabysk (ar)
Modern standert Arabysk (ar_001)
Arameesk (arc)
Araukaansk (arn)
Arapaho (arp)
Arawak (arw)
Assameesk (as)
Asu (asa)
Asturysk (ast)
Avarysk (av)
Awadhi (awa)
Aymara (ay)
Azerbeidzjaansk (az)
Basjkiersk (ba)
Baloetsjysk (bal)
Balineesk (ban)
Basa (bas)
Bamoun (bax)
Ghomala’ (bbj)
Wyt-Russysk (be)
Beja (bej)
Bemba (bem)
Bena (bez)
Bafut (bfd)
Bulgaarsk (bg)
Bhojpuri (bho)
Bislama (bi)
Bikol (bik)
Bini (bin)
Kom (bkm)
Siksika (bla)
Bambara (bm)
Bengaalsk (bn)
Tibetaansk (bo)
Bretonsk (br)
Braj (bra)
Bodo (brx)
Bosnysk (bs)
Akoose (bss)
Buriat (bua)
Bugineesk (bug)
Bulu (bum)
Blin (byn)
Medumba (byv)
Katalaansk (ca)
Kaddo (cad)
Karibysk (car)
Cayuga (cay)
Atsam (cch)
Tsjetsjeensk (ce)
Cebuano (ceb)
Chiga (cgg)
Chamorro (ch)
Chibcha (chb)
Chagatai (chg)
Chuukeesk (chk)
Mari (chm)
Chinook-jargon (chn)
Choctaw (cho)
Chipewyan (chp)
Cherokee (chr)
Cheyenne (chy)
Soranî (ckb)
Korsikaansk (co)
Koptysk (cop)
Cree (cr)
Krim-Tataarsk (crh)
Tsjechysk (cs)
Kasjoebysk (csb)
Kerkslavysk (cu)
Tsjoevasjysk (cv)
Welsk (cy)
Deensk (da)
Dakota (dak)
Dargwa (dar)
Taita (dav)
Dútsk (de)
Eastenryks Dútsk (de_AT)
Switsersk Heechdútsk (de_CH)
Delaware (del)
Slave (den)
Dogrib (dgr)
Dinka (din)
Zarma (dje)
Dogri (doi)
Nedersorbysk (dsb)
Duala (dua)
Middelnederlânsk (dum)
Divehi (dv)
Jola-Fonyi (dyo)
Dyula (dyu)
Dzongkha (dz)
Dazaga (dzg)
Embu (ebu)
Ewe (ee)
Efik (efi)
Aldegyptysk (egy)
Ekajuk (eka)
Gryks (el)
Elamitysk (elx)
Ingelsk (en)
Australysk Ingelsk (en_AU)
Kanadeesk Ingelsk (en_CA)
Britsk Ingelsk (en_GB)
Amerikaansk Ingelsk (en_US)
Middelingelsk (enm)
Esperanto (eo)
Spaansk (es)
Latynsk-Amerikaansk Spaansk (es_419)
Europeesk Spaansk (es_ES)
Meksikaansk Spaansk (es_MX)
Estlânsk (et)
Baskysk (eu)
Ewondo (ewo)
Perzysk (fa)
Fang (fan)
Fanti (fat)
Fulah (ff)
Finsk (fi)
Filipynsk (fil)
Fijysk (fj)
Faeröersk (fo)
Fon (fon)
Frânsk (fr)
Kanadeesk Frânsk (fr_CA)
Switserse Frânsk (fr_CH)
Middelfrânsk (frm)
Aldfrânsk (fro)
Noard-Frysk (frr)
East-Frysk (frs)
Friulysk (fur)
West-Frysk (fy)
Iersk (ga)
Ga (gaa)
Gayo (gay)
Gbaya (gba)
Schotsk Gaelic (gd)
Geez (gez)
Gilberteesk (gil)
Galisysk (gl)
Middelheechdútsk (gmh)
Guaraní (gn)
Alsheechdútsk (goh)
Gondi (gon)
Gorontalo (gor)
Gothysk (got)
Grebo (grb)
Aldgryks (grc)
Switsers Dútsk (gsw)
Gujarati (gu)
Gusii (guz)
Manks (gv)
Gwichʼin (gwi)
Hausa (ha)
Haida (hai)
Hawaïaansk (haw)
Hebreeuwsk (he)
Hindi (hi)
Hiligaynon (hil)
Hettitysk (hit)
Hmong (hmn)
Hiri Motu (ho)
Kroatysk (hr)
Oppersorbysk (hsb)
Haïtiaansk (ht)
Hongaarsk (hu)
Hupa (hup)
Armeensk (hy)
Herero (hz)
Interlingua (ia)
Iban (iba)
Ibibio (ibb)
Yndonezysk (id)
Interlingue (ie)
Igbo (ig)
Sichuan Yi (ii)
Inupiaq (ik)
Iloko (ilo)
Ingoesj (inh)
Ido (io)
Yslâns (is)
Italiaansk (it)
Inuktitut (iu)
Japans (ja)
Lojban (jbo)
Ngomba (jgo)
Machame (jmc)
