aa,aa
ab,Abcáisis
ae,Aivéistis
af,Afracáinis
am,Amarais
ar,Araibis
as,Asaimis
az,Asarbaiseáinis
ba,Baiscíris
be,Bealarúisis
bg,Bulgáiris
bn,Beangáilis
bo,Tibéadais
br,Briotáinis
bs,Boisnis
ca,Catalóinis
ce,Sisinis
co,Corsaicis
cr,Craíais
cs,Seicis
cu,Slavais na hEaglaise
cv,Suvaisis
cy,Breatnais
da,Danmhairgis
de,Gearmáinis
de_AT,Gearmáinis Ostarach
de_CH,Ardghearmáinis Elvéiseach
el,Gréigis
en,Béarla
en_AU,Béarla Astrálach
en_CA,Béarla Ceanadach
en_GB,Béarla Briotanach
en_US,Béarla Meiriceánach
eo,Esperanto
es,Spáinnis
es_419,Spáinnis Mheiriceá Laidinigh
es_ES,Spáinnis Eorpach
et,Eastóinis
eu,Bascais
fa,Peirsis
fi,Fionlainnis
fil,Filipínis
fj,Fidsis
fo,Faróis
fr,Fraincis
fr_CA,Fraincis Ceanadach
fr_CH,Fraincis Elvéiseach
fy,Freaslainnis Iartharach
ga,Gaeilge
gd,Gaeilge na hAlban
gl,Gailísis
gn,Guaráinis
gsw,Gearmáinis Elvéiseach
gu,Gúisearáitis
gv,Mannainis
ha,Hásais
haw,Haváíais
he,Eabhrais
hi,Hiondúis
hr,Cróitis
ht,Háítis
hu,Ungáiris
hy,Airméinis
ia,Interlingua
id,Indinéisis
ie,Interlingue
ig,Íogbóis
ik,Inupiaq
io,Ido
is,Íoslainnis
it,Iodáilis
iu,Ionúitis
ja,Seapáinis
jv,Iávais
ka,Seoirsis
kk,Casachais
km,Cambóidis
kn,Cannadais
ko,Cóiréis
ks,Caismíris
ku,Coirdis
kw,Cornais
ky,Cirgeasais
la,Laidin
lb,Leitseabuirgis
ln,ln
lo,Laosais
lt,Liotuáinis
lv,Laitvis
mg,Malagásais
mi,Maorais
mk,Macadóinis
ml,Mailéalaimis
mn,Mongóilis
mr,Maraitis
ms,Malaeis
mt,Maltais
my,Burmais
na,Nárúis
nb,Ioruais Bokmål
ne,Neipealais
nl,Ollainnis
nl_BE,Pléimeannais
nn,Ioruais Nynorsk
no,Ioruais
nv,Navachóis
oc,Ocatáinis
or,Oraisis
os,Óiséitis
pa,Puinseáibis
pl,Polainnis
ps,Paistis
pt,Portaingéilis
pt_BR,Portaingéilis Bhrasaíleach
pt_PT,Portaingéilis Ibéireach
qu,Ceatsuais
rm,Rómainis
ro,Rómáinis
ro_MD,Moldáivis
ru,Rúisis
sa,Sanscrait
sc,Sairdínis
sd,Sindis
se,Sáimis Thuaidh
sh,Seirbea-Chróitis
si,Siolóinis
sk,Slóvaicis
sl,Slóivéinis
sm,Samóis
so,Somáilis
sq,Albáinis
sr,Seirbis
st,Sótais Dheisceartach
su,Sundais
sv,Sualainnis
sw,Svahaílis
ta,Tamailis
te,Teileagúis
tg,Táidsícis
th,Téalainnis
ti,Tigrinis
tk,Tuircméinis
tl,Tagálaigis
tlh,Klingon
to,Tongais
tr,Tuircis
tt,Tatarais
tw,Tvís
ty,Taihítis
ug,ug
uk,Úcráinis
und,Teanga Anaithnid nó Neamhbhailí
ur,Urdais
uz,Úisbéicis
vi,Vítneamais
wa,Vallúnais
wo,Volaifis
xh,Cósais
yi,Giúdais
yo,Iarúibis
zh,Sínis
zh_Hans,Sínis Shimplithe
zh_Hant,Sínis Thraidisiúnta
zu,Súlúis
zxx,Gan ábhar teangeolaíoch
