Afar (aa)
Abchasisch (ab)
Aceh (ace)
Acholi (ach)
Adangme (ada)
Adygai (ady)
Avestisch (ae)
Afrikaans (af)
Afrihili (afh)
Ainu (ain)
Akan (ak)
Akkadisch (akk)
Aleutisch (ale)
Süüd-Altaisch (alt)
Amharisch (am)
Aragonesisch (an)
Altänglisch (ang)
Angika (anp)
Arabisch (ar)
Aramääisch (arc)
Araukanisch (arn)
Arapaho (arp)
Arawak (arw)
Assamesisch (as)
Asu (Tanzania) (asa)
Aschturianisch (ast)
Awarisch (av)
Awadhi (awa)
Aymara (ay)
Aserbaidschanisch (az)
Baschkirisch (ba)
Belutschisch (bal)
Balinesisch (ban)
Basaa (bas)
Wiissrussisch (be)
Bedauye (bej)
Bemba (bem)
Bena (Tanzania) (bez)
Bulgaarisch (bg)
Bhodschpuri (bho)
Bislama (bi)
Bikolisch (bik)
Bini (bin)
Blackfoot-Schpraach (bla)
Bambara (bm)
Bengalisch (bn)
Tibeetisch (bo)
Brötoonisch (br)
Braj-Bhakha (bra)
Bosnisch (bs)
Burjatisch (bua)
Bugineesisch (bug)
Blin (byn)
Katalaanisch (ca)
Caddo (cad)
Kariibisch (car)
Atsam (cch)
Tschetscheenisch (ce)
Cebuano (ceb)
Chamorro (ch)
Tschibtscha (chb)
Tschagataisch (chg)
Trukesisch (chk)
Tscheremissisch (chm)
Chinook (chn)
Choctaw (cho)
Chipewyan (chp)
Cherokee (chr)
Cheyenne (chy)
Korsisch (co)
Koptisch (cop)
Cree (cr)
Krimtatarisch (crh)
Tschechisch (cs)
Kaschubisch (csb)
Chileslawisch (cu)
Tschuwaschisch (cv)
Walisisch (cy)
Tänisch (da)
Takota (dak)
Targiinisch (dar)
Tüütsch (de)
Öschtriichischs Tüütsch (de_AT)
Schwiizer Hochtüütsch (de_CH)
Delaware-Schpraach (del)
Slavey (den)
Togrib (dgr)
Tinka (din)
Togri (doi)
Nidersorbisch (dsb)
Tuala (dua)
Mittelniderländisch (dum)
Malediivisch (dv)
Tiula (dyu)
Dschongkha (dz)
Ewe (ee)
Efikisch (efi)
Altägyptisch (egy)
Ekajuk (eka)
Griechisch (el)
Elamisch (elx)
Änglisch (en)
Auschtralischs Änglisch (en_AU)
Kanadischs Änglisch (en_CA)
Britischs Änglisch (en_GB)
Amerikanischs Änglisch (en_US)
Mittelänglisch (enm)
Eschperanto (eo)
Schpanisch (es)
Latiinamerikanischs Schpanisch (es_419)
Ibeerischs Schpanisch (es_ES)
Eestnisch (et)
Baskisch (eu)
Ewondo (ewo)
Persisch (fa)
Pangwe-Schpraach (fan)
Fanti-Schpraach (fat)
Ful (ff)
Finnisch (fi)
Filipino (fil)
Fidschianisch (fj)
Färöisch (fo)
Fon (fon)
Französisch (fr)
Kanadischs Französisch (fr_CA)
Schwiizer Französisch (fr_CH)
