Աֆրիկանս (af)
Հաբեշերեն (am)
Արաբերեն (ar)
Ասամերեն (as)
Ադրբեջաներեն (az)
Բելարուսերեն (be)
Բուլղարերեն (bg)
Բիհարերեն (bh)
Բենգալերեն (bn)
Բրետոներեն (br)
Բոսներեն (bs)
Կատալոներեն (ca)
Չեխերեն (cs)
Վալերեն (cy)
Դանիերեն (da)
Գերմաներեն (de)
Հունարեն (el)
Անգլերեն (en)
Էսպերանտո (eo)
Իսպաներեն (es)
Էստոներեն (et)
Բասկերեն (eu)
Պարսկերեն (fa)
Ֆիններեն (fi)
Տագալերեն (fil)
Ֆարվերեն (fo)
Ֆրանսերեն (fr)
Ֆրիսերեն (fy)
Իռլանդերեն (ga)
Գաելյան Շոտլանդերեն (gd)
Գալիսերեն (gl)
Գուարաներեն (gn)
Գուջարատերեն (gu)
Եբրայերեն (he)
Հնդկերեն (hi)
Խորվաթերեն (hr)
Հունգարերեն (hu)
Հայերէն (hy)
Ինտերլինգուա (ia)
Ինդոնեզերեն (id)
Ինտերլինգ (ie)
Իսլանդերեն (is)
Իտալերեն (it)
Ճապոներեն (ja)
Ճավայերեն (jv)
Վրացերեն (ka)
Կամբոջերեն (km)
Կաննադա (kn)
Կորեերեն (ko)
Քրդերեն (ku)
Ղրղզերեն (ky)
Լատիներեն (la)
Լինգալա (ln)
Լաոսերեն (lo)
Լիտվերեն (lt)
Լատվերեն (lv)
Մակեդոներեն (mk)
Կերալերեն (ml)
Մոնղոլերեն (mn)
Մարաթի (mr)
Մալայերեն (ms)
Մալթերեն (mt)
Նեպալերեն (ne)
Հոլանդերեն (nl)
Նորվեգերեն (Նյունորսկ) (nn)
Նորվեգերեն (no)
Ակվիտաներեն (oc)
Օրիսերեն (or)
Փենջաբերեն (pa)
Լեհերեն (pl)
Փաշտուներեն (ps)
Պորտուգալերեն (pt)
Ռումիներեն (ro)
Ռուսերեն (ru)
Սանսկրիտերեն (sa)
Սինդհի (sd)
Սերբա-Խորվաթերեն (sh)
Սինհալերեն (si)
Սլովակերեն (sk)
Սլովեներեն (sl)
Սոմալերեն (so)
Ալբաներեն (sq)
Սերբերեն (sr)
Սեսոտո (st)
Սունդաներեն (su)
Շվեդերեն (sv)
Սուահիլի (sw)
Թամիլերեն (ta)
Տելուգու (te)
Թայերեն (th)
Էրիտրերեն (ti)
Թուրքմեներեն (tk)
Կլինգոն (tlh)
Թուրքերեն (tr)
Տուի (tw)
Ույղուրերեն (ug)
Ուկրաիներեն (uk)
Ուրդու (ur)
Ուզբեկերեն (uz)
Վիետնամերեն (vi)
Խոշերեն (xh)
Իդիշ (yi)
Չինարեն (zh)
Զուլուսերեն (zu)
