afrikaans (af)
amharico (am)
arabe (ar)
Assamese (as)
azerbaidzhani (az)
bielorusso (be)
bulgaro (bg)
bihari (bh)
bengali (bn)
breton (br)
bosniaco (bs)
catalano (ca)
checo (cs)
gallese (cy)
danese (da)
germano (de)
greco (el)
anglese (en)
anglese (RU) (en_GB)
anglese (SUA) (en_US)
esperanto (eo)
espaniol (es)
estoniano (et)
basco (eu)
persiano (fa)
finnese (fi)
tagalog (fil)
faroese (fo)
francese (fr)
frisiano (fy)
irlandese (ga)
scoto gaelic (gd)
gallego (gl)
guarani (gn)
gujarati (gu)
hebreo (he)
hindi (hi)
croato (hr)
hungaro (hu)
armeniano (hy)
interlingua (ia)
indonesiano (id)
Interlingue (ie)
islandese (is)
italiano (it)
japonese (ja)
javanese (jv)
georgiano (ka)
Cambodiano (km)
kannada (kn)
coreano (ko)
kurdo (ku)
kirghizo (ky)
latino (la)
lingala (ln)
laotiano (lo)
lithuano (lt)
letton (lv)
macedone (mk)
malayalam (ml)
mongolico (mn)
marathi (mr)
malay (ms)
maltese (mt)
nepalese (ne)
nederlandese (nl)
norvegiano (nynorsk) (nn)
norvegiano (no)
occitano (oc)
oriya (or)
punjabi (pa)
polonese (pl)
pashto (ps)
portugese (pt)
romaniano (ro)
russo (ru)
sanscrito (sa)
sindhi (sd)
serbocroate (sh)
sinhalese (si)
slovaco (sk)
sloveno (sl)
somali (so)
albanese (sq)
serbo (sr)
sesotho (st)
sundanese (su)
svedese (sv)
swahili (sw)
tamil (ta)
telugu (te)
thai (th)
tigrinya (ti)
turkmeno (tk)
Klingon (tlh)
turco (tr)
twi (tw)
Uyghur (ug)
ukrainiano (uk)
urdu (ur)
uzbeco (uz)
vietnamese (vi)
xhosa (xh)
yiddish (yi)
zulu (zu)
