Akan (ak)
Amariikị (am)
Arabiikị (ar)
Belaruusu (be)
Bọlụgarịa (bg)
Bengali (bn)
Cheekị (cs)
Jamaan (de)
Giriikị (el)
Oyibo (en)
Panya (es)
Peshan (fa)
Fụrench (fr)
Awụsa (ha)
Hindi (hi)
Magịya (hu)
Indonisia (id)
Igbo (ig)
Italo (it)
Japanese (ja)
Java (jv)
Keme, Etiti (km)
Koria (ko)
Maleyi (ms)
Mịanma (my)
Nepali (ne)
Dọọch (nl)
Punjabi (pa)
Poliishi (pl)
Potoki (pt)
Rumenia (ro)
Rọshan (ru)
Rụwanda (rw)
Somali (so)
Sụwidiishi (sv)
Tamụlụ (ta)
Taị (th)
Tọkiishi (tr)
Ukureenị (uk)
Urudu (ur)
Viyetịnaamụ (vi)
Yoruba (yo)
Mandarịịnị (zh)
Zulu (zu)
