aa,afár
ab,abkasíska
ace,akkíska
ach,acoli
ada,adangme
ady,adýge
ae,avestíska
af,afríkanska
afh,afríhílí
agq,aghem
ain,aínu (Japan)
ak,akan
akk,akkadíska
ale,aleúska
alt,suðuraltaíska
am,amharíska
an,aragonska
ang,fornenska
anp,angíka
ar,arabíska
ar_001,stöðluð nútímaarabíska
arc,arameíska
arn,arákaníska
arp,arapahó
arw,aravakska
as,assamska
asa,asu (Tanzania)
ast,astúríska
av,avaríska
awa,avadí
ay,aímara
az,aserska
ba,baskír
bal,balúkí
ban,balíska
bas,basa
bax,bamun
be,hvítrússneska
bej,beja
bem,bemba
bez,bena (Tanzania)
bg,búlgarska
bho,bojpúrí
bi,bíslama
bik,bíkol
bin,bíní
bla,siksika
bm,bambara
bn,bengalska
bo,tíbeska
br,bretónska
bra,braí
brx,bodo
bs,bosníska
bss,bakossi
bua,búríat
bug,búgíska
byn,blín
ca,katalónska
cad,kaddó
car,karíbamál
cay,kajúga
cch,atsam
ce,tsjetsjenska
ceb,kebúanó
cgg,sjíga
ch,kamorró
chb,síbsja
chg,sjagataí
chk,sjúkíska
chm,marí
chn,sínúk
cho,sjoktá
chp,sípevíska
chr,Cherokee-mál
chy,sjeyen
ckb,sorani-kúrdíska
co,korsíska
cop,koptíska
cr,krí
crh,krímtyrkneska
cs,tékkneska
csb,kasúbíska
cu,kirkjuslavneska
cv,sjúvas
cy,velska
da,danska
dak,dakóta
dar,dargva
dav,taíta
de,þýska
de_AT,austurrísk þýska
de_CH,svissnesk háþýska
del,delaver
den,slavneska
dgr,dogríb
din,dinka
dje,zarma
doi,dogrí
dsb,lágsorbneska
dua,dúala
dum,miðhollenska
dv,dívehí
dyo,jola-fonyi
dyu,djúla
dz,dsongka
ebu,embu
ee,ewe
efi,efík
egy,fornegypska
eka,ekajúk
el,gríska
elx,elamít
en,enska
en_AU,áströlsk enska
en_CA,kanadísk enska
en_GB,bresk enska
en_US,bandarísk enska
enm,miðenska
eo,esperantó
es,spænska
es_419,rómanskamerísk spænska
es_ES,evrópsk spænska
es_MX,mexíkósk spænska
et,eistneska
eu,baskneska
ewo,evondó
fa,persneska
fan,fang
fat,fantí
ff,fúla
fi,finnska
fil,filippseyska
fj,fídjeyska
fo,færeyska
fon,fón
fr,franska
fr_CA,kanadísk franska
fr_CH,svissnesk franska
frm,miðfranska
fro,fornfranska
frr,norðurfrísneska
frs,austurfrísneska
fur,fríúlska
fy,vesturfrísneska
ga,írska
gaa,ga
gay,gajó
gba,gbaja
gd,skosk gelíska
gez,gís
gil,gilberska
gl,gallegska
gmh,miðháþýska
gn,gvaraní
goh,fornháþýska
gon,gondí
gor,gorontaló
got,gotneska
grb,gerbó
grc,forngríska
gsw,svissnesk þýska
gu,gújaratí
guz,gusii
gv,manx
gwi,gvísín
ha,hása
hai,haída
haw,havaíska
he,hebreska
hi,hindí
hil,híligaínon
hit,hettitíska
hmn,hmong
ho,hírímótú
hr,króatíska
hsb,hásorbneska
ht,haítíska
hu,ungverska
hup,húpa
hy,armenska
hz,hereró
ia,alþjóðatunga
iba,íban
ibb,ibibio
id,indónesíska
ie,interlingve
ig,ígbó
ii,sísúanjí
ik,ínúpíak
ilo,ílokó
inh,ingús
io,ídó
is,íslenska
it,ítalska
iu,inúktitút
ja,japanska
jbo,lojban
jmc,masjáme
jpr,gyðingapersneska
jrb,gyðingaarabíska
jv,javanska
ka,georgíska
kaa,karakalpak
kab,kabíle
kac,kasín
kaj,jju
kam,kamba
kaw,kaví
kbd,kabardíska
kcg,tyap
kde,makónde
kea,kappverdiska
kfo,koro
kg,kongóska
kha,kasí
kho,kotaska
ki,kíkújú
kj,kúanjama
kk,kasakska
kkj,kako
kl,grænlenska
km,kmer
kmb,kimbúndú
kn,kannada
ko,kóreska
kok,konkaní
kos,kosraska
kpe,kpelle
kr,kanúrí
krc,karasaíbalkar
krl,karélska
kru,kúrúk
ks,kasmírska
ksf,bafia
ksh,kölníska
ku,kúrdneska
kum,kúmík
kut,kútenaí
kv,komíska
kw,korníska
ky,kirgiska
la,latína
lad,ladínska
lah,landa
lam,lamba
lb,lúxemborgíska
lez,lesgíska
