afár (aa)
abkasíska (ab)
akkíska (ace)
acoli (ach)
adangme (ada)
adýge (ady)
avestíska (ae)
afríkanska (af)
afríhílí (afh)
aghem (agq)
aínu (Japan) (ain)
akan (ak)
akkadíska (akk)
aleúska (ale)
suðuraltaíska (alt)
amharíska (am)
aragonska (an)
fornenska (ang)
angíka (anp)
arabíska (ar)
stöðluð nútímaarabíska (ar_001)
arameíska (arc)
arákaníska (arn)
arapahó (arp)
aravakska (arw)
assamska (as)
asu (asa)
astúríska (ast)
avaríska (av)
avadí (awa)
aímara (ay)
aserska (az)
baskír (ba)
balúkí (bal)
balíska (ban)
basa (bas)
bamun (bax)
hvítrússneska (be)
beja (bej)
bemba (bem)
bena (bez)
búlgarska (bg)
bojpúrí (bho)
bíslama (bi)
bíkol (bik)
bíní (bin)
siksika (bla)
bambara (bm)
bengalska (bn)
tíbeska (bo)
bretónska (br)
braí (bra)
bódó (brx)
bosníska (bs)
bakossi (bss)
búríat (bua)
búgíska (bug)
blín (byn)
katalónska (ca)
kaddó (cad)
karíbamál (car)
kajúga (cay)
atsam (cch)
tsjetsjenska (ce)
kebúanó (ceb)
kíga (cgg)
kamorró (ch)
síbsja (chb)
sjagataí (chg)
sjúkíska (chk)
marí (chm)
sínúk (chn)
sjoktá (cho)
sípevíska (chp)
Cherokee-mál (chr)
sjeyen (chy)
sorani-kúrdíska (ckb)
korsíska (co)
koptíska (cop)
krí (cr)
krímtyrkneska (crh)
tékkneska (cs)
kasúbíska (csb)
kirkjuslavneska (cu)
sjúvas (cv)
velska (cy)
danska (da)
dakóta (dak)
dargva (dar)
taíta (dav)
þýska (de)
austurrísk þýska (de_AT)
svissnesk háþýska (de_CH)
delaver (del)
slavneska (den)
dogríb (dgr)
dinka (din)
zarma (dje)
dogrí (doi)
lágsorbneska (dsb)
dúala (dua)
miðhollenska (dum)
dívehí (dv)
jola-fonyi (dyo)
djúla (dyu)
dsongka (dz)
embu (ebu)
ewe (ee)
efík (efi)
fornegypska (egy)
ekajúk (eka)
gríska (el)
elamít (elx)
enska (en)
áströlsk enska (en_AU)
kanadísk enska (en_CA)
bresk enska (en_GB)
bandarísk enska (en_US)
miðenska (enm)
esperantó (eo)
spænska (es)
rómanskamerísk spænska (es_419)
evrópsk spænska (es_ES)
mexíkósk spænska (es_MX)
eistneska (et)
baskneska (eu)
evondó (ewo)
persneska (fa)
fang (fan)
fantí (fat)
fúla (ff)
finnska (fi)
filippseyska (fil)
fídjeyska (fj)
færeyska (fo)
fón (fon)
franska (fr)
kanadísk franska (fr_CA)
svissnesk franska (fr_CH)
miðfranska (frm)
fornfranska (fro)
norðurfrísneska (frr)
austurfrísneska (frs)
fríúlska (fur)
vesturfrísneska (fy)
írska (ga)
ga (gaa)
gagás (gag)
gajó (gay)
gbaja (gba)
skosk gelíska (gd)
gís (gez)
gilberska (gil)
galíanska (gl)
miðháþýska (gmh)
gvaraní (gn)
fornháþýska (goh)
gondí (gon)
gorontaló (gor)
gotneska (got)
gerbó (grb)
forngríska (grc)
svissnesk þýska (gsw)
gújaratí (gu)
gusii (guz)
manska (gv)
gvísín (gwi)
hása (ha)
haída (hai)
havaíska (haw)
hebreska (he)
hindí (hi)
híligaínon (hil)
hettitíska (hit)
hmong (hmn)
hírímótú (ho)
króatíska (hr)
hásorbneska (hsb)
haítíska (ht)
ungverska (hu)
húpa (hup)
armenska (hy)
hereró (hz)
alþjóðatunga (ia)
íban (iba)
ibibio (ibb)
indónesíska (id)
interlingve (ie)
ígbó (ig)
sísúanjí (ii)
ínúpíak (ik)
ílokó (ilo)
ingús (inh)
ídó (io)
íslenska (is)
ítalska (it)
inúktitút (iu)
japanska (ja)
lojban (jbo)
ngomba (jgo)
masjáme (jmc)
gyðingapersneska (jpr)
gyðingaarabíska (jrb)
javanska (jv)
georgíska (ka)
karakalpak (kaa)
kabíle (kab)
kasín (kac)
jju (kaj)
kamba (kam)
kaví (kaw)
kabardíska (kbd)
tyap (kcg)
makonde (kde)
grænhöfðeyska (kea)
koro (kfo)
kongóska (kg)
kasí (kha)
kotaska (kho)
koyra chiini (khq)
kíkújú (ki)
kúanjama (kj)
kasakska (kk)
kako (kkj)
grænlenska (kl)
kalenjin (kln)
kmer (km)
kimbúndú (kmb)
kannada (kn)
kóreska (ko)
kómí-permyak (koi)
konkaní (kok)
kosraska (kos)
kpelle (kpe)
kanúrí (kr)
karasaíbalkar (krc)
karélska (krl)
kúrúk (kru)
kasmírska (ks)
sjambala (ksb)
bafía (ksf)
kölníska (ksh)
kúrdíska (ku)
kúmík (kum)
kútenaí (kut)
komíska (kv)
kornbreska (kw)
kirgiska (ky)
latína (la)
ladínska (lad)
langí (lag)
landa (lah)
lamba (lam)
