Takanit (ak)
Tamahrict (am)
Taɛrabt (ar)
Tabilarusit (be)
Tabulgarit (bg)
Tabengalit (bn)
Tačikit (cs)
Talmant (de)
Tagrikit (el)
Taglizit (en)
Taspenyulit (es)
Tafarisit (fa)
Tafransist (fr)
Tahwasit (ha)
Tahendit (hi)
Tahungarit (hu)
Tandunisit (id)
Tigbut (ig)
Taṭalyanit (it)
Tajapunit (ja)
Tajavanit (jv)
Taqbaylit (kab)
Takemrit (km)
Takurit (ko)
Tamalawit (ms)
Taburmisit (my)
Tanipalit (ne)
Tadučit (nl)
Tapunjabit (pa)
Tapulunit (pl)
Tapurtugalit (pt)
Tarumanit (ro)
Tarusit (ru)
Taruwandit (rw)
Taṣumalit (so)
Taswidit (sv)
Taṭamulit (ta)
Taṭaylundit (th)
Taṭurkit (tr)
Tukranit (uk)
Turdut (ur)
Tabyiṭnamit (vi)
Tayurubit (yo)
Tacinwat, Tamundarint (zh)
Tazulut (zu)
