Chakan (ak)
Chamhali (am)
Chalabu (ar)
Chibelalusi (be)
Chibulgalia (bg)
Chibangla (bn)
Chichechi (cs)
Chidyelumani (de)
Chigilichi (el)
Chiingeleza (en)
Chihispania (es)
Chiajemi (fa)
Chifalansa (fr)
Chihausa (ha)
Chihindi (hi)
Chihungali (hu)
Chiiongonesia (id)
Chiigbo (ig)
Chiitaliano (it)
Chidyapani (ja)
Chidyava (jv)
Chimakonde (kde)
Chikambodia (km)
Chikolea (ko)
Chimalesia (ms)
Chibulma (my)
Chinepali (ne)
Chiholanzi (nl)
Chipunjabi (pa)
Chipolandi (pl)
Chileno (pt)
Chilomania (ro)
Chilusi (ru)
Chinyalwanda (rw)
Chisomali (so)
Chiswidi (sv)
Chitamil (ta)
Chitailandi (th)
Chituluchi (tr)
Chiuklania (uk)
Chiuldu (ur)
Chivietinamu (vi)
Chiyoluba (yo)
Chichina (zh)
Chizulu (zu)
