ab,abkaziu
af,afrikaner
agq,aghem
ak,akan
am,amariku
ar,arabi
ar_001,arabi mudernu
arn,araukanu
as,asames
asa,asu
ay,aimara
az,azerbaijanu
ba,baxkir
be,bielorusu
bem,bemba
bez,bena
bg,bulgaru
bm,bambara
bn,bengali
bo,tibetanu
br,bretãu
brx,bodo
bs,bosniu
ca,katalãu
cgg,xiga
chr,xeroki
ckb,kurdu sorani
co,córsiku
cs,txeku
cy,gales
da,dinamarkes
dav,taita
de,alimãu
de_AT,alimãu austriaku
de_CH,altu alimãu suisu
dje,zarma
dsb,sórbiu baxu
dua,duala
dyo,jola-fonyi
dz,dzonka
ebu,embu
ee,eve
el,gregu
en,ingles
en_AU,ingles australianu
en_CA,ingles kanadianu
en_GB,ingles britanuku
en_US,ingles merkanu
eo,sperantu
es,spanhol
es_419,spanhol latinu-merkanu
es_ES,spanhol europeu
es_MX,spanhol mexikanu
et,stonianu
eu,basku
fa,persa
fi,finlandes
fil,filipinu
fj,fijianu
fo,faroes
fr,franses
fr_CA,franses kanadianu
fr_CH,franses suisu
fy,frisiu osidental
ga,irlandes
gag,gagauz
gl,galegu
gn,guarani
gsw,alimãu di Suisa
gu,gujarati
guz,gusii
gv,manks
ha,auza
haw,avaianu
he,ebraiku
hi,indi
hr,kroata
hsb,sórbiu altu
ht,aitianu
hu,úngaru
hy,arméniu
id,indoneziu
ig,ibo
ii,nuosu
is,islandes
it,italianu
iu,inuktitut
ja,japones
jgo,ñomba
jmc,matxame
jv,javanes
ka,jorjianu
kea,kabuverdianu
kk,kazak
km,kmer
kn,kanares
ko,kureanu
ks,kaxmira
ku,kurdu
ky,kirgiz
la,latin
lb,luxemburges
lo,lausianu
lt,lituanes
lv,letãu
mg,malgaxi
mi,maori
mk,masedoniu
ml,malaialam
mr,marati
ms,malaiu
mt,maltes
my,birmanes
nb,norueges bokmål
ne,nepales
nl,olandes
nl_BE,flamengu
nn,norueges nynorsk
om,oromo
or,oriya
pa,pandjabi
pl,pulaku
ps,paxto
pt,purtuges
pt_BR,purtuges brazileru
pt_PT,purtuges europeu
qu,kexua
quc,kitxe
rm,romanxi
ro,rumenu
ru,rusu
rw,kiniaruanda
sa,sanskritu
sd,sindi
si,singales
sk,slovaku
sl,sloveniu
so,somali
sq,albanes
sr,sérviu
su,sundanes
sv,sueku
sw,suaíli
swc,suaíli di Kongu
ta,tamil
te,telugu
tg,tajik
th,tailandes
ti,tigrinia
tk,turkmenu
to,tonganes
tr,turku
tt,tatar
ug,uigur
uk,ukranianu
und,lingua diskonxedu
ur,urdu
uz,uzbeki
vi,vietnamita
wo,uolof
xh,koza
yo,ioruba
zh,xines
zh_Hans,xines simplifikadu
zh_Hant,xines tradisional
zu,zulu
zxx,sem konteudo linguistiku
