Kiakan (ak)
Kiamhari (am)
Kĩarabu (ar)
Kibelarusi (be)
Kibulgaria (bg)
Kibangla (bn)
Kichecki (cs)
Kĩnjeremani (de)
Kigiriki (el)
Gĩthungũ (en)
Kihispania (es)
Kiajemi (fa)
Kĩbaranja (fr)
Kihausa (ha)
Kĩhĩndĩ (hi)
Kihungari (hu)
Kiindonesia (id)
Kiigbo (ig)
Kĩtaliano (it)
Kĩnjabani (ja)
Kijava (jv)
Gikuyu (ki)
Kikambodia (km)
Kikorea (ko)
Kimalesia (ms)
Kiburma (my)
Kinepali (ne)
Kiholanzi (nl)
Kipunjabi (pa)
Kipolandi (pl)
Kireno (pt)
Kiromania (ro)
Kĩracia (ru)
Kinyarwanda (rw)
Kĩcumarĩ (so)
Kiswidi (sv)
Kitamil (ta)
Kitailandi (th)
Kituruki (tr)
Kiukrania (uk)
Kiurdu (ur)
Kivietinamu (vi)
Kiyoruba (yo)
Kĩcaina (zh)
Kizulu (zu)
