ab,абхаз
af,африкаанс
am,амхар
ar,араб
ar_001,қазіргі стандартты араб тілі
as,ассам
ay,Аймара
az,әзірбайжан
be,беларус
bg,болгар
bn,бенгал
bo,тибет тілі
br,брит
bs,босния
ca,каталан
cs,чех
cy,валлий
da,дат
de,неміс тілі
de_AT,австриялық неміс тілі
de_CH,швейцариялық ұлы неміс тілі
dv,Мальдив
dz,дзонг-кэ
efi,эфик
el,грек
en,ағылшын тілі
en_AU,австралиялық ағылшын тілі
en_CA,канадалық ағылшын тілі
en_GB,британиялық ағылшын тілі
en_US,американдық ағылшын тілі
eo,эсперанто
es,испан тілі
es_419,латын американдық испан тілі
es_ES,ибериялық испан тілі
es_MX,мексикалық испан тілі
et,эстон
eu,баск
fa,парсы
fi,фин
fil,филиппин
fj,фиджи
fo,фарер
fr,француз тілі
fr_CA,канадалық француз тілі
fr_CH,швейцариялық француз тілі
fy,батыс фриз
ga,ирланд
gd,Солтүстік Шотландия
gl,гали
gn,гуарани
gsw,швейцариялық неміс тілі
gu,гуджарати
ha,хауса
haw,гавай
he,иврит
hi,хинди
hr,хорват
ht,гаитян
hu,венгер
hy,армян
ia,интерлингва
id,индонезия
ie,интерлингве
ig,игбо
is,исланд
it,итальян тілі
ja,жапон тілі
jv,ява
ka,грузин
kk,қазақ тілі
km,кхмер
kn,каннада
ko,кәріс
ks,кашмир
ku,күрд
ky,қырғыз
la,латын
lb,люксембург
ln,лингала
lo,лаос
lt,литва
lv,латыш
mg,малагаси
mi,маори
mk,македон
ml,малайялам
mn,моңғол
mr,маратхи
ms,малай
mt,мальта
my,бирман
nb,норвегиялық букмол
nd,Солтүстік ндебел
ne,непал
nl,голланд
nl_BE,флемиш
nn,норвегиялық нинорск
no,норвег
nso,Солтүстік сотхо
ny,ньянджа
oc,окситан
or,ория
os,осетин
pa,панджаб
pl,поляк
ps,пушту
pt,португал тілі
pt_BR,бразилиялық португал тілі
pt_PT,еуропалық португал тілі
qu,кечуа
rm,романш
rn,рунди
ro,румын
ru,орыс тілі
rw,киньяруанда
sa,санскрит
sah,якут
sd,синдхи
se,Солтүстік саам
sg,санго
sh,сербхорват
si,сингал
sk,словак
sl,словен
so,сомали
sq,албан
sr,серб
st,сесото
su,судан
sv,швед
sw,суахили
ta,тамил
te,телугу
tg,тәжік
th,тай
ti,тигринья
tk,түрікмен
tlh,клингон
to,тонган
tr,түрік
tt,татар
tw,тви
ug,ұйғыр
uk,украин
und,белгісіз тіл
ur,урду
uz,өзбек
vi,вьетнам
wo,волоф
xh,ксоза
yi,идиш
yo,йоруба
zgh,марокколық стандартты тамазигхт
zh,қытай тілі
zh_Hans,қарапайым қытай тілі
zh_Hant,дәстүрлік қытай тілі
zu,зулу
zxx,тілдік мазмұны жоқ
