arabiamiusut (ar)
aserbajdsjaniskisut (az)
bengalimiutut (bn)
tjekkiamut (cs)
qallunaatut (da)
tyskisut (de)
tuluttut (en)
esperanto (eo)
spanskisut (es)
estlandimiutut (et)
persiskisut (fa)
finlandimiutut (fi)
savalimmiutut (fo)
franskisut (fr)
irlandimiutut (ga)
hebraimiutut (he)
hindimiutut (hi)
indonesiamiutut (id)
islandimiusut (is)
italiamiutut (it)
japanimiusut (ja)
kalaallisut (kl)
koreamiusut (ko)
kurdiskisut (ku)
latiinerisut (la)
litauenimiutut (lt)
letlandimiutut (lv)
malagassiskisut (mg)
maorimiutut (mi)
hollandimiutut (nl)
polenimiutut (pl)
pashtomiutut (ps)
portugalimiutut (pt)
rumænimiutut (ro)
russisut (ru)
slovakimiusut (sk)
svenskisut (sv)
swahilimiutut (sw)
thailandimiutut (th)
tyrkiskisut (tr)
ukrainimiusut (uk)
(atorsinnaanngitsoq oqaatsit) (und)
urdumiutut (ur)
vietnamimiusut (vi)
kineserisut (zh)
