aa,ಅಫಾರ್
ab,ಅಬ್ಖಾಜಿಯನ್
ace,ಅಛಿನೀಸ್
ach,ಅಕೋಲಿ
ada,ಅಡಂಗ್‌ಮೆ
ady,ಅಡೈಘೆ
ae,ಅವೆಸ್ಟನ್
af,ಆಫ್ರಿಕಾನ್ಸ್
afh,ಆಫ್ರಿಹಿಲಿ
ain,ಐನು
ak,ಅಕಾನ್
akk,ಅಕ್ಕಾಡಿಯನ್
ale,ಅಲೆಯುಟ್
alt,ದಕ್ಷಿಣ ಅಲ್ಟಾಯ್
am,ಅಂಹರಿಕ್
an,ಅರಗೊನೀಸ್
ang,ಪ್ರಾಚೀನ ಇಂಗ್ಲೀಷ್
anp,ಆಂಗಿಕಾ
ar,ಅರೇಬಿಕ್
ar_001,ಆಧುನಿಕ ಪ್ರಮಾಣಿತ ಅರೇಬಿಕ್
arc,ಅರಾಮಿಕ್
arn,ಅರೌಕೇನಿಯನ್
arp,ಅರಪಾಹೋ
arw,ಅರಾವಾಕ್
as,ಅಸ್ಸಾಮೀಸ್
ast,ಆಸ್ಟುರಿಯನ್
av,ಅವರಿಕ್
awa,ಅವಧಿ
ay,ಅಯ್ಮಾರಾ
az,ಅಜೆರ್ಬೈಜಾನಿ
ba,ಬಶ್ಕಿರ್
bal,ಬಲೂಚಿ
ban,ಬಲಿನೀಸ್
bas,ಬಸಾ
be,ಬೆಲರೂಸಿಯನ್
bej,ಬೇಜಾ
bem,ಬೆಂಬಾ
bg,ಬಲ್ಗೇರಿಯನ್
bho,ಭೋಜಪುರಿ
bi,ಬಿಸ್ಲಾಮಾ
bik,ಬಿಕೊಲ್
bin,ಬಿನಿ
bla,ಸಿಕ್ಸಿಕಾ
bm,ಬಂಬಾರಾ
bn,ಬೆಂಗಾಲಿ
bo,ಟಿಬೇಟಿಯನ್
br,ಬ್ರೆಟನ್
bra,ಬ್ರಾಜ್
bs,ಬೋಸ್ನಿಯನ್
bua,ಬುರಿಯಟ್
bug,ಬುಗಿನೀಸ್
byn,ಬ್ಲಿನ್
ca,ಕೆಟಲಾನ್
cad,ಕ್ಯಾಡ್ಡೋ
car,ಕಾರಿಬ್
cch,ಅಟ್ಸಮ್
ce,ಚೆಚನ್
ceb,ಸೆಬುಆನೋ
ch,ಕಮೊರೊ
chb,ಚಿಬ್ಚಾ
chg,ಚಗಟಾಯ್
chk,ಚೂಕಿಸೆ
chm,ಮಾರಿ
chn,ಚಿನೂಕ್ ಜಾರ್ಗೋನ್
cho,ಚೋಕ್ಟಾವ್
chp,ಚಿಪೆವ್ಯಾನ್
chr,ಚೆರೋಕೀ
chy,ಚೀಯೆನ್ನೇ
ckb,ಸೊರಾನಿ ಕುರ್ದಿಷ್
co,ಕೋರ್ಸಿಕನ್
cop,ಕೊಪ್ಟಿಕ್
cr,ಕ್ರೀ
crh,ಕ್ರಿಮೀಯನ್ ಟರ್ಕಿಷ್
cs,ಜೆಕ್
csb,ಕಶುಬಿಯನ್
cu,ಚರ್ಚ್ ಸ್ಲಾವಿಕ್
cv,ಚುವಾಶ್
cy,ವೆಲ್ಶ್
da,ಡ್ಯಾನಿಶ್
dak,ಡಕೋಟ
dar,ದರ್ಗ್ವಾ
de,ಜರ್ಮನ್
de_AT,ಆಸ್ಟ್ರಿಯನ್ ಜರ್ಮನ್
de_CH,ಸ್ವಿಸ್ ಹೈ ಜರ್ಮನ್
del,ಡೆಲಾವೇರ್
den,ಸ್ಲೇವ್
dgr,ಡೋಗ್ರಿಬ್
din,ಡಿಂಕಾ
doi,ಡೋಗ್ರಿ
dsb,ಲೋವರ್ ಸೋರ್ಬಿಯನ್
dua,ಡುವಾಲಾ
dum,ಮಧ್ಯ ಡಚ್
dv,ದಿವೆಹಿ
dyu,ಡ್ಯೂಲಾ
dz,ಜೋಂಗ್‌ಖಾ
ee,ಎವ್
efi,ಎಫಿಕ್
egy,ಪ್ರಾಚೀನ ಈಜಿಪ್ಟಿಯನ್
eka,ಎಕಾಜುಕ್
el,ಗ್ರೀಕ್
elx,ಎಲಾಮೈಟ್
en,ಇಂಗ್ಲೀಷ್
en_AU,ಆಸ್ಟ್ರೇಲಿಯನ್ ಇಂಗ್ಲೀಷ್
en_CA,ಕೆನೆಡಿಯನ್ ಇಂಗ್ಲೀಷ್
en_GB,ಬ್ರಿಟಿಷ್ ಇಂಗ್ಲೀಷ್
en_US,ಯು.ಎಸ್. ಇಂಗ್ಲೀಷ್
enm,ಮಧ್ಯ ಇಂಗ್ಲೀಷ್
