अफार (aa)
अबखेज़ियन (ab)
अफ्रिकान्स (af)
अमहारिक् (am)
अरेबिक् (ar)
असामी (as)
ऐमरा (ay)
अज़रबैजानी (az)
बष्किर (ba)
बैलोरुसियन् (be)
बल्गेरियन (bg)
बिसलमा (bi)
बंगाली (bn)
तिबेतियन (bo)
ब्रेटन (br)
कटलान (ca)
कोर्शियन (co)
ज़ेक् (cs)
वेळ्ष् (cy)
डानिष (da)
जर्मन (de)
भूटानी (dz)
ग्रीक् (el)
आंग्ल (en)
इस्परान्टो (eo)
स्पानिष (es)
इस्टोनियन् (et)
बास्क (eu)
पर्षियन् (fa)
फिन्निष् (fi)
फिजी (fj)
फेरोस् (fo)
फ्रेन्च (fr)
फ्रिशियन् (fy)
ऐरिष (ga)
स्काटस् गेलिक् (gd)
गेलीशियन (gl)
गौरानी (gn)
गुजराती (gu)
हौसा (ha)
हेब्रु (he)
हिन्दी (hi)
क्रोयेषियन् (hr)
हंगेरियन् (hu)
आर्मीनियन् (hy)
इन्टरलिंग्वा (ia)
इन्डोनेषियन (id)
इन्टरलिंग् (ie)
इनूपेयाक् (ik)
आईस्लान्डिक (is)
इटालियन (it)
इन्युकट्ट (iu)
जापनीस् (ja)
जावनीस् (jv)
जार्जियन् (ka)
कज़ख् (kk)
ग्रीनलान्डिक (kl)
कंबोडियन (km)
कन्नडा (kn)
कोरियन् (ko)
कोंकणी (kok)
कश्मीरी (ks)
कुर्दिष (ku)
किर्गिज़ (ky)
लाटिन (la)
लिंगाला (ln)
लाओतियन् (lo)
लिथुआनियन् (lt)
लाट्वियन् (लेट्टिष्) (lv)
मलागसी (mg)
माओरी (mi)
मसीडोनियन् (mk)
मळियाळम (ml)
मंगोलियन् (mn)
मराठी (mr)
मलय (ms)
मालतीस् (mt)
बर्मीज़् (my)
नौरो (na)
नेपाळी (ne)
डच् (nl)
नोर्वेजियन (no)
ओसिटान् (oc)
ओरोमो (अफान) (om)
ओरिया (or)
पंजाबी (pa)
पोलिष (pl)
पाष्टो (पुष्टो) (ps)
पोर्चुगीज़् (pt)
क्वेच्वा (qu)
रहटो-रोमान्स् (rm)
किरुन्दी (rn)
रोमानियन् (ro)
मोल्डावियन् (ro_MD)
रष्यन् (ru)
किन्यार्वान्डा (rw)
संस्कृत (sa)
सिंधी (sd)
सांग्रो (sg)
सेर्बो-क्रोयेषियन् (sh)
सिन्हलीस् (si)
स्लोवाक (sk)
स्लोवेनियन् (sl)
समोन (sm)
शोना (sn)
सोमाळी (so)
आल्बेनियन् (sq)
सेर्बियन् (sr)
सिस्वाती (ss)
सेसोथो (st)
सुंदनीस (su)
स्वीदीष (sv)
स्वाहिली (sw)
तमिळ (ta)
तेलुगू (te)
तजिक (tg)
थाई (th)
तिग्रिन्या (ti)
तुर्कमन (tk)
तगालोग (tl)
सेत्स्वाना (tn)
तोंगा (to)
तुर्किष (tr)
त्सोगा (ts)
तटार (tt)
त्वि (tw)
उधूर (ug)
युक्रेनियन् (uk)
उर्दू (ur)
उज़बेक (uz)
वियत्नामीज़ (vi)
ओलापुक (vo)
उलोफ़ (wo)
झ़ौसा (xh)
इद्दिष् (yi)
यूरुबा (yo)
झ्हुन्ग (za)
चीनीस् (zh)
जुलू (zu)
