riakan (ak)
riamarik (am)
riarab (ar)
ribɛlɔrís (be)
ribulgarí (bg)
ribɛngáli (bn)
ricɛ́k (cs)
ridjɛrman (de)
rigrɛ́k (el)
riingɛrís (en)
rikpanyá (es)
ripɛrsán (fa)
ripɛrɛsǝ́ (fr)
rikaksa (ha)
riíndí (hi)
riɔngrɔá (hu)
riindonɛsí (id)
riigbo (ig)
riitalyɛ́n (it)
rijapɔ́ŋ (ja)
rijawanɛ́ (jv)
rikmɛr (km)
rikɔrɛɛ́ (ko)
rikpa (ksf)
rimalaí (ms)
ribirmán (my)
rinepalɛ́ (ne)
riɔlándɛ́ (nl)
ripɛnjabí (pa)
ripɔlɔ́n (pl)
ripɔrtugɛ́ (pt)
rirɔmán (ro)
rirís (ru)
rirwanda (rw)
risomalí (so)
riswɛ́dǝ (sv)
ritamúl (ta)
ritaí (th)
riturk (tr)
riukrɛ́n (uk)
riurdú (ur)
riwyɛtnám (vi)
riyúuba (yo)
ricinɔá (zh)
rizúlu (zu)
