абхазча (ab)
африкаанча (af)
агемче (agq)
аканча (ak)
амхарча (am)
арабча (ar)
азыркы адабий араб тилинде (ar_001)
мапучеде (arn)
ассамча (as)
асуча (asa)
азербайжанча (az)
башкырча (ba)
беларусча (be)
бембача (bem)
бенача (bez)
болгарча (bg)
бамбарада (bm)
бангладешче (bn)
тибетче (bo)
бретончо (br)
бододо (brx)
боснийче (bs)
каталанча (ca)
чигача (cgg)
черокиче (chr)
сорани курд (ckb)
корсиканча (co)
чехче (cs)
уелшче (cy)
датча (da)
таитача (dav)
немисче (de)
жогорку немисче (Швейцария) (de_CH)
замрача (dje)
төмөнкү сорбианча (dsb)
дуалача (dua)
жола-фониче (dyo)
жонгуча (dz)
эмбуча (ebu)
эбече (ee)
грекче (el)
англисче (en)
эсперанто (eo)
испанча (es)
испанча (Европа) (es_ES)
эстончо (et)
баскча (eu)
фарсыча (fa)
финче (fi)
филипино (fil)
фижиче (fj)
фароэче (fo)
французча (fr)
батыш фризче (fy)
ирландча (ga)
гагаузча (gag)
галисияча (gl)
гуараш (gn)
немисче (Швейцария) (gsw)
гужаратча (gu)
гусиче (guz)
манксыча (gv)
хаусача (ha)
гавайча (haw)
ивритте (he)
хиндиче (hi)
хорватча (hr)
жогорку сорбианча (hsb)
гаитиче (ht)
мажарча (hu)
армянча (hy)
индонезче (id)
игбочо (ig)
носуча (ii)
исландча (is)
италиянча (it)
инуктитутта (iu)
япончо (ja)
нгомбача (jgo)
мачамече (jmc)
жаванизче (jv)
грузинче (ka)
кабылча (kab)
камбача (kam)
макондече (kde)
кабувердиче (kea)
койра чиниче (khq)
кикуйиче (ki)
казакча (kk)
калаалисутча (kl)
каленжиче (kln)
кмерче (km)
каннадача (kn)
корейче (ko)
коми-пермякча (koi)
конканиче (kok)
кашмирче (ks)
шамабалача (ksb)
бафияча (ksf)
курдча (ku)
корнишче (kw)
кыргызча (ky)
латынча (la)
лангиче (lag)
люксембургча (lb)
гандача (lg)
лакотача (lkt)
лингалача (ln)
лаочо (lo)
литовчо (lt)
луба-катангача (lu)
луочо (luo)
лухияча (luy)
латышча (lv)
масайча (mas)
меруча (mer)
морисианча (mfe)
малагасча (mg)
макуача (mgh)
метөчө (mgo)
маориче (mi)
македончо (mk)
малайаламча (ml)
моңголчо (mn)
мохаукча (moh)
маратиче (mr)
малайча (ms)
малтизче (mt)
мундангча (mua)
бурмача (my)
намача (naq)
норвежче (Букмал) (nb)
түндүк ндыбелче (nd)
непалча (ne)
голландча (nl)
фламандча (nl_BE)
квасиочо (nmg)
норвежче (Нинорск) (nn)
норвежче (no)
нкочо (nqo)
нуерче (nus)
ныйанколчо (nyn)
оромочо (om)
орияча (or)
пунжабиче (pa)
полякча (pl)
пашточо (ps)
португалча (pt)
португалча (Европа) (pt_PT)
кечуача (qu)
кичече (quc)
романшча (rm)
рундиче (rn)
румынча (ro)
молдованча (ro_MD)
ромбочо (rof)
орусча (ru)
руандача (rw)
руача (rwk)
санскритче (sa)
самбуруча (saq)
сангуча (sbp)
синдхиче (sd)
түндүк самиче (se)
сенача (seh)
койраборо сенниче (ses)
сангочо (sg)
серб-хорват (sh)
ташелитче (shi)
сингалача (si)
словакча (sk)
словенче (sl)
түштүк саамиче (sma)
лөлө саамиче (smj)
инари саамиче (smn)
сколт саамиче (sms)
шонача (sn)
сомаличе (so)
албанча (sq)
сербче (sr)
сесото (st)
сунданча (su)
шведче (sv)
суахиличе (sw)
конго суахаличе (swc)
тамилче (ta)
телугуча (te)
тесочо (teo)
тажикче (tg)
тайча (th)
тигриниача (ti)
түркмөнчө (tk)
клингончо (tlh)
тонгача (to)
түркчө (tr)
татарча (tt)
тви (tw)
тасабакча (twq)
борбордук Атлас тамазитче (tzm)
уйгурча (ug)
украинче (uk)
белгисиз тилде (und)
урдуча (ur)
өзбекче (uz)
вайиче (vai)
вьетнамча (vi)
вунжочо (vun)
уолофчо (wo)
косача (xh)
согача (xog)
идишче (yi)
йорубача (yo)
марокко тамазигт адабий тилинде (zgh)
кытайча (zh)
кытайча (жөнөкөйлөштүрүлгөн) (zh_Hans)
кытайча (салттуу) (zh_Hant)
зулуча (zu)
тилдик мазмун жок (zxx)
