Kɨakáani (ak)
Kɨmʉháari (am)
Kɨaráabu (ar)
Kɨberalúusi (be)
Kɨbulugária (bg)
Kɨbangála (bn)
Kɨchéeki (cs)
Kɨjerʉmáani (de)
Kɨgiríki (el)
Kɨɨngeréesa (en)
Kɨhispánia (es)
Kɨajéemi (fa)
Kɨfaráansa (fr)
Kɨhaúusa (ha)
Kɨhíindi (hi)
Kɨhungári (hu)
Kɨɨndonésia (id)
Kiígibo (ig)
Kɨtaliáano (it)
Kɨjapáani (ja)
Kɨjáava (jv)
Kɨkambódia (km)
Kɨkoréa (ko)
Kɨlaangi (lag)
Kɨmelésia (ms)
Kɨbáama (my)
Kɨnepáali (ne)
Kɨholáanzi (nl)
Kɨpúnjabi (pa)
Kɨpólandi (pl)
Kɨréeno (pt)
Kɨromanía (ro)
Kɨrúusi (ru)
Kɨnyarwáanda (rw)
Kɨsómáali (so)
Kɨswíidi (sv)
Kɨtamíili (ta)
Kɨtáilandi (th)
Kɨturúuki (tr)
Kɨukɨranía (uk)
Kɨúrdu (ur)
Kɨvietináamu (vi)
Kɨyorúuba (yo)
Kɨchíina (zh)
Kɨzúulu (zu)
