Lu-akaani (ak)
Lu-amhariki (am)
Luwarabu (ar)
Lubelarusi (be)
Lubulugariya (bg)
Lubengali (bn)
Luceeke (cs)
Ludaaki (de)
Lugereeki/Luyonaani (el)
Lungereza (en)
Lusipanya (es)
Luperusi (fa)
Lufalansa (fr)
Luhawuza (ha)
Luhindu (hi)
Luhangare (hu)
Luyindonezya (id)
Luyibo (ig)
Luyitale (it)
Lujapani (ja)
Lunnajjava (jv)
Lukme (km)
Lukoreya (ko)
Luganda (lg)
Lumalayi (ms)
Lubbama (my)
Lunepali (ne)
Luholandi (nl)
Lupunjabi (pa)
Lupolandi (pl)
Lupotugiizi (pt)
Lulomaniya (ro)
Lulasa (ru)
Lunarwanda (rw)
Lusomaliya (so)
Luswideni (sv)
Lutamiiru (ta)
Luttaayi (th)
Lutake (tr)
Luyukurayine (uk)
Lu-urudu (ur)
Luvyetinaamu (vi)
Luyoruba (yo)
Lucayina (zh)
Luzzulu (zu)
