aa,ອະຟາ
ab,ແອບຄາເຊຍ
ace,ແອັກຊີເນັສ
ach,ອາໂຄລີ
ada,ອາແດງມີ
ady,ເອດີຮິ
ae,ອາເວັສແຕນ
af,ອາຟຣິກາອານ
afa,ພາສາ ແອໂຟຣ-ເອເຊຍຕິກ
afh,ແອຟີຮີລີ
agq,ອາເຮັມ
ain,ໄອນູ
ak,ອາການ
akk,ອັກກາດຽມ
ale,ອາເລີດ
alg,ພາສາອໍກອນຄຽນ
alt,ອານໄຕໃຕ້
am,ອຳຫາຣິກ
an,ອາຣາໂກເນັດ
ang,ອັງກິດໂບຮານ
anp,ແອນຈີກາ
apa,ພາສາອາປາເຊ
ar,ອາຣັບ
arc,ອາລາມິກ
arn,ອາຣົວຄານຽນ
arp,ອາຣາປາໂຮ
art,ພາສາປະດິດ
arw,ອາຣາແວກ
as,ອັສສຳ
asa,ອາຊູ
ast,ອັສຕູຮຽນ
ath,ພາສາອາທາພະສະຖານ
aus,ພາສາອອດສເຕເລຍ
av,ອາວາຣິກ
awa,ອາວາຮິ
ay,ອາຍມາລາ
az,ອາເຊີໄບຈານິ
ba,ບາຣກີ
bad,ບານດາ
bai,ພາສາບາມາລີກ
bal,ບາລູຊີ
ban,ບາລີເນັດ
bas,ບາຊາ
bat,ພາສາບໍຕິກ
bax,ບາມຸນ
bbj,ໂຄມາລາ
be,ເບລາລຸດຊີ
bej,ບີເຈ
bem,ເບັມບາ
ber,ເບີເບີ
bez,ບີນາ
bfd,ບາຟັດ
bg,ບຸນກາຣີ
bh,ບິຫາລິ
bho,ໂບພູຣິ
bi,ບິສລະມາ
bik,ບີຄອນ
bin,ບີນີ
bkm,ກົມ
bla,ຊິກຊິກາ
bm,ບາມບາຣາ
bn,ເບັງການ
bnt,ບັນຕູ
bo,ທິເບດ
br,ເບຣຕັນ
bra,ບຣາ
brx,ໂບດູ
bs,ບຣອດນ້ຽນ
bss,ອາຄຸດ
btk,ບາຕັກ
bua,ບູຣຽດ
bug,ບູຈີເນັດ
bum,ບູລູ
byn,ບລິນ
byv,ເມດູມບາ
ca,ແຄັດຕາລານ
cad,ແຄດໂດ
cai,ພາສາອາເມລິກັນອິນເດຍກາງ
car,ຄາຣິບ
cau,ພາສາຄໍຄັດຊຽມ
cay,ຄາຢູກາ
cch,ອາດແຊມ
ce,ຊີເຄນ
ceb,ຊີບູໂນ
cel,ພາສາເຊວຕິກ
cgg,ຊີກາ
ch,ຊາມໍໂຣ
chb,ຊິບຊາ
chg,ຊາກາໄຕ
chk,ຊູເກດ
chm,ມາຣິ
chn,ຊີນຸກຈາກອນ
cho,ຊອກຕິວ
chp,ຊີພິວຢານ
chr,ຊີໂຣກີ
chy,ຊີເຢນນີ
ckb,ໂຊນານີເຄີດີຊ
cmc,ພາສາຊາມິກ
co,ຄໍຊິກາ
cop,ຄອບຕິກ
cpe,ເຄຣິນພື້ນຖານອັງກິດ ຫລືພິດກິນ
cpf,ຄີໂອຫຼືພິດຈິນທີມາຈາກພາສາຟຮັ່ງເສດ
cpp,ຄີໂອຫຼືພິດຈິນທີມາພາສາໂປຕູເກດ
cr,ຄີ
crh,ຄຣີເມນເຕີຄິຊ
crp,ຄີໂອຫຼືພິດຈິນ
cs,ເຊັກ
csb,ກາຊູບຽນ
cu,ໂບດສລາວິກ
cus,ພາສາຄູຊີຕິກ
cv,ຊູວາຊ
cy,ເວຣວ
da,ດານຣິດ
dak,ດາໂກຕາ
dar,ດາກວາ
dav,ໄຕຕາ
day,ດາຍັກ
de,ເຍຍລະມັນ
de_AT,ອາດຕຽນ ເຈີແມນ
de_CH,ສະວິດ ຮາຍ ເຈີແມນ
del,ເດລາວາ
den,ຊີເລັບ
dgr,ໂດກຣິບ
din,ດິນກາ
dje,ຊາມາ
doi,ດອກຣີ
dra,ພາສາດາວີດຽມ
dsb,ຊໍບຽນຕໍ່ກວ່າ
dua,ດົວລາ
dum,ດັກກາງ
dv,ດີວີຮີ
dyo,ໂຈລາ-ຝອນຢີ
dyu,ດູລາ
dz,ດີຊອງຄາ
dzg,ດາຊາກາ
ebu,ເອັມບູ
ee,ອິວາ
efi,ອີຟິກ
egy,ອີຢິບບູຮານ
eka,ອີກາຈັກ
el,ກເຣັກ
elx,ອີລາໄມ
en,ອັງກິດ
en_AU,ອັອດເຕຣເລຍ ອັງກິດ
en_CA,ການາດຽນ ອັງກິດ
en_GB,ໄບທິດ ອັງກິດ
en_US,ຢູ່ເອັດ ອັງກິດ
enm,ອັງກິດກາງ
eo,ແອັດເປີລານໂຕ້
es,ແອສປາໂຍນ
es_419,ເລຕິນ ອາເມີລິແຄນ ສະເປນຣິດ
es_ES,ເອີຣົບປ້ຽນ ສະເປນຣິດ
et,ເອສໂຕນີ
eu,ບັສເກີ
ewo,ອີວອນດູ
fa,ເປີເຊຍ
fan,ແຟງ
fat,ແຟນຕີ
ff,ຟູລາ
fi,ຟາຍນຣິດ
fil,ຟີລິປີໂນ
fiu,ພາສາຟິນໂນ-ອູຣຽນ
fj,ຟິຈິ
fo,ຟາໂຣ
fon,ຟອນ
fr,ຝຣັ່ງ
fr_CA,ການາດ້ຽນ ເຟຣນ
fr_CH,ສະວິສ ເຟຣນ
frm,ຟຮັ່ງເສດກາງ
fro,ຟຮັ່ງເສດໂບຮານ
frr,ຟຣີຊຽນເໜືອ
frs,ຟຣີຊຽນຕາເວັນອອກ
fur,ຟຣີລຽນ
fy,ເວດເທິນ ຟຣີຊຽນ
ga,ໄອຣິສ
gaa,ກາ
gay,ກາໂຢ
gba,ບາຍາ
gd,ສະກັອດເກລິກ
gem,ພາສາເຈີມານິກ
gez,ກີ
gil,ກິນເບີເທັດ
gl,ກາລິດ
gmh,ເຢຍລະມັນສູງກາງ
gn,ກົວຣານີ
goh,ເຢຍລະມັນສູງໂບຮານ
gon,ກອນດີ
gor,ໂກຣອນຕາໂຣ
got,ກອດຮິກ
grb,ກຣີໂບ
grc,ແອນຊຽນກຣີກ
gsw,ສະວິສເຢຍລະມັນ
gu,ກູຊາຣາຕີ
guz,ກູຊິ
gv,ແມນ
gwi,ວິດອິນ
ha,ຮູຊາ
hai,ໄຮດາ
haw,ຮາໄວອຽນ
he,ເຫບຣິວ
hi,ຮິນດູ
hil,ຮິຣິໄກນອນ
him,ຫິມາຈັດສ
hit,ຮິດໄຕ
hmn,ມອງ
ho,ຮິຣິໂມຕູ
hr,ຄອດຕຽນ
hsb,ຊຸບເປີຊໍບຽນ
ht,ໄຮຕຽນ
hu,ຮັງກາລຽນ
hup,ຮູປາ
hy,ອາກເມນີ
hz,ເຮິຮິໂຣ
ia,ອິນເຕີລິງລົວ
iba,ໄອບານ
ibb,ໄອໄບໄບໂອ
id,ອິນດອນຊຽນ
ie,ອິນເຕີລິງກຣີ
ig,ໄອຈີໂບ
