aa,afarų
ab,abchazų
ace,ačinezų
ach,akolių
ada,adangmų
ady,adygėjų
ae,avestų
af,afrikanų
afh,afrihili
agq,aghemų
ain,ainų
ak,akanų
akk,akadianų
ale,aleutų
alt,pietų Altajaus
am,amharų
an,aragonesų
ang,senoji anglų
anp,angikų
ar,arabų
ar_001,šiuolaikinė standartinė arabų
arc,aramaikų
arn,araukanų
arp,arapahų
arw,aravakų
as,asamų
asa,asu
ast,asturianų
av,avarikų
awa,avadhi
ay,aimarų
az,azerbaidžaniečių
ba,baškirų
bal,baluči
ban,balinezų
bas,basų
bax,bamunų
bbj,ghomalų
be,baltarusių
bej,bėjų
bem,bemba
bez,benų
bfd,bafutų
bg,bulgarų
bho,baučpuri
bi,bislama
bik,bikolų
bin,bini
bkm,komų
bla,siksika
bm,bambarų
bn,bengalų
bo,tibetiečių
br,bretonų
bra,brajų
brx,bodo
bs,bosnių
bss,akūsų
bua,buriatų
bug,buginezų
bum,bulu
byn,blin
byv,medumbų
ca,katalonų
cad,kado
car,karibų
cay,kaijūgų
cch,atsamų
ce,čečėnų
ceb,cebuanų
cgg,čigų
ch,čamorų
chb,čibča
chg,čagatų
chk,čukesų
chm,mari
chn,činuk žargonas
cho,čoktau
chp,čipvėjų
chr,čerokių
chy,čajenų
ckb,soranių kurdų
co,korsikiečių
cop,koptų
cr,kry
crh,Krymo turkų
cs,čekų
csb,kašubų
cu,bažnytinė slavų
cv,čiuvašų
cy,valų
da,danų
dak,dakotų
dar,dargva
dav,taitų
de,vokiečių
de_AT,Austrijos vokiečių
de_CH,Šveicarijos aukštutinė vokiečių
del,delavero
den,slave
dgr,dogribų
din,dinkų
dje,zarmų
doi,dogri
dsb,Žemutinės Serbijos
dua,dualų
dum,Vidurio Vokietijos
dv,divehi
dyo,džiola-foni
dyu,dyulų
dz,svazilando
dzg,dazagų
ebu,ebu
ee,eve
efi,efik
egy,senovės egiptiečių
eka,ekajuk
el,graikų
elx,elamitų
en,anglų
en_AU,Australijos anglų
en_CA,Kanados anglų
en_GB,Didžiosios Britanijos anglų
en_US,Jungtinių Valstijų anglų
enm,Vidurio Anglijos
eo,esperanto
es,ispanų
es_419,Lotynų Amerikos ispanų
es_ES,Europos ispanų
es_MX,Meksikos ispanų
et,estų
eu,baskų
ewo,evondo
fa,persų
fan,fang
fat,fanti
ff,fulahų
fi,suomių
fil,filipiniečių
fj,fidžių
fo,farerų
fon,fon
fr,prancūzų
fr_CA,Kanados prancūzų
fr_CH,Šveicarijos prancūzų
frm,Vidurio Prancūzijos
fro,senoji prancūzų
frr,šiaurinių fryzų
frs,rytų fryzų
fur,frulan
fy,vakarų fryzų
ga,airių
gaa,ga
gay,gajo
gba,gbaja
gd,škotų (gėlų)
gez,gyz
gil,kiribati
gl,galisų
gmh,Vidurio Aukštosios Vokietijos
gn,gvaranių
goh,Senoji Aukštosios Vokietijos
gon,gondi
gor,gorontalo
got,gotų
grb,grebo
grc,senovės graikų
gsw,Šveicarijos vokiečių
gu,gudžaratų
guz,gusi
gv,manks
gwi,gvičino
ha,hausų
hai,haido
haw,havajiečių
he,hebrajų
hi,hindi
hil,hiligainon
hit,hititų
hmn,hmong
ho,hiri motu
hr,kroatų
hsb,viršutinė sorbian
ht,Haičio
hu,vengrų
hup,hupa
hy,armėnų
hz,herero
ia,interlingva
iba,iban
ibb,ibibio
id,indoneziečių
ie,interkalba
ig,igbų
ii,sičuan ji
ik,inupiak
ilo,iloko
inh,ingušų
io,ido
is,islandų
it,italų
iu,inukitut
ja,japonų
jbo,loiban
jmc,machamų
jpr,judėjų persų
jrb,judėjų arabų
jv,javiečių
ka,gruzinų
kaa,karakalpakų
kab,kabilo
kac,kačin
kaj,ju
kam,kamba
kaw,kavi
kbd,kabardinų
kbl,kanembų
kcg,tyap
kde,makondų
kea,Žaliojo Kyšulio kreolų
kfo,koro
kg,Kongo
kha,kasi
kho,kotanezų
khq,koyra čini
ki,kikui
kj,kuaniama
kk,kazachų
kkj,kako
kl,kalalisut
kln,kalenjinų
km,khmerų
kmb,kimbundu
kn,kanadų
ko,korėjiečių
kok,kankani
kos,kosreanų
kpe,kpele
kr,kanuri
krc,karačiajų balkarijos
krl,karelų
kru,kuruk
ks,kašmyrų
ksb,sambalų
ksf,bafų
ksh,kolognų
ku,kurdų
kum,kumikų
kut,kutenai
kv,komi
kw,kornų
ky,kirgizų
