Liakan (ak)
Liamhariki (am)
Arabi (ar)
Belarusi (be)
Bulegari (bg)
Bengali (bn)
Tsheki (cs)
Lizelumani (de)
Giliki (el)
Lingelesa (en)
Lihispania (es)
Mpepajemi (fa)
Mfwàlànsa (fr)
Hausa (ha)
Hindi (hi)
Hongili (hu)
Lindonezia (id)
Igbo (ig)
Litali (it)
Liyapani (ja)
Java (jv)
Likoreya (ko)
Tshiluba (lu)
Limalezia (ms)
nepali (ne)
olandi (nl)
Lipunjabi (pa)
Mpoloni (pl)
Mputulugɛsi (pt)
Liromani (ro)
Lirisi (ru)
kinyarwanda (rw)
Lisomali (so)
Lisuwidi (sv)
Mtamuili (ta)
Ntailandi (th)
Ntuluki (tr)
Nkrani (uk)
Urdu (ur)
Liviyetinamu (vi)
Nyoruba (yo)
shinɛ (zh)
Nzulu (zu)
