Kĩakani (ak)
Kĩamarĩki (am)
Kĩarabu (ar)
Kĩbelarusi (be)
Kĩbulugĩria (bg)
Kĩbangira (bn)
Kĩcheki (cs)
Kĩnjamanĩ (de)
Kĩngiriki (el)
Kĩngeretha (en)
Kĩspĩni (es)
Kĩpasia (fa)
Kĩfuransi (fr)
Kĩhausa (ha)
Kĩhĩndi (hi)
Kĩhangarĩ (hu)
Kĩindonesia (id)
Kĩigbo (ig)
Kĩitalĩ (it)
Kĩjapani (ja)
Kĩjava (jv)
Kĩkambodia (km)
Kĩkorea (ko)
Kĩmĩrũ (mer)
Kĩmalesia (ms)
Kĩburma (my)
Kĩnepali (ne)
Kĩholandi (nl)
Kĩpunjabu (pa)
Kĩpolandi (pl)
Kĩpochogo (pt)
Kĩromania (ro)
Kĩrashia (ru)
Kĩrwanda (rw)
Kĩsomali (so)
Kĩswideni (sv)
Kĩtamilu (ta)
Kĩthailandi (th)
Kĩtakĩ (tr)
Kĩukirĩni (uk)
Kĩurdu (ur)
Kĩvietinamu (vi)
Kĩyoruba (yo)
Kĩchina (zh)
Kĩzulu (zu)
