akan (ak)
amarik (am)
arab (ar)
bieloris (be)
bilgar (bg)
bengali (bn)
tchek (cs)
alman (de)
grek (el)
angle (en)
espagnol (es)
persan (fa)
franse (fr)
haoussa (ha)
hindi (hi)
hongrwa (hu)
indonezien (id)
igbo (ig)
italien (it)
zapone (ja)
zavane (jv)
khmer, santral (km)
koreen (ko)
kreol morisien (mfe)
male (ms)
birman (my)
nepale (ne)
olande (nl)
penjabi (pa)
polone (pl)
portige (pt)
roumin (ro)
ris (ru)
rwanda (rw)
somali (so)
swedwa (sv)
tamoul (ta)
thaï (th)
tirk (tr)
ikrenien (uk)
ourdou (ur)
vietnamien (vi)
yoruba (yo)
sinwa, mandarin (zh)
zoulou (zu)
