Akan (ak)
Amharika (am)
Arabo (ar)
Bielorosy (be)
Biolgara (bg)
Bengali (bn)
Tseky (cs)
Alemanina (de)
Grika (el)
Anglisy (en)
Espaniola (es)
Persa (fa)
Frantsay (fr)
haoussa (ha)
hindi (hi)
hongroà (hu)
Indonezianina (id)
igbo (ig)
Italianina (it)
Japoney (ja)
Javaney (jv)
khmer (km)
Koreanina (ko)
Malagasy (mg)
Malay (ms)
Birmana (my)
Nepale (ne)
Holandey (nl)
Penjabi (pa)
Poloney (pl)
Portiogey (pt)
Romanianina (ro)
Rosianina (ru)
Roande (rw)
Somalianina (so)
Soisa (sv)
Tamoila (ta)
Taioaney (th)
Tiorka (tr)
Okrainianina (uk)
Ordò (ur)
Vietnamianina (vi)
Yôrobà (yo)
Sinoa, Mandarin (zh)
Zolò (zu)
