Ikan (ak)
Imhari (am)
Iarabu (ar)
Ibelausi (be)
Ibulgaria (bg)
Ibangla (bn)
Icheki (cs)
Ijerimani (de)
Igiriki (el)
Ingilishi (en)
Ihispaniola (es)
Iajemi (fa)
Ifaransa (fr)
Ihausa (ha)
Ihindi (hi)
Ihungari (hu)
Igbo (ig)
Italiano (it)
Ijapani (ja)
Ijava (jv)
Ikambodia (km)
Ikorea (ko)
Makua (mgh)
Imalesia (ms)
Iburma (my)
Inepali (ne)
Iholanzi (nl)
Ipunjabi (pa)
Ipolandi (pl)
Nreno (pt)
Iromania (ro)
Irisi (ru)
Inyaranda (rw)
Isomali (so)
Iswidi (sv)
Itamil (ta)
Itailandi (th)
Ituruki (tr)
Iukran (uk)
Ihurdu (ur)
Ivyetinamu (vi)
Iyoruba (yo)
Ichina (zh)
Izulu (zu)
