ab,абхаз
af,африк
am,амхар
ar,араб
as,ассам
az,азербайжан
be,беларусь
bg,болгар
bh,бихари хэл
bn,бенгал
bo,төвд
br,бретон
bs,босни
ca,каталан
cs,чех
cy,уэлс
da,дани
de,герман
de_AT,австри герман
de_CH,швейцари герман
el,грек
en,англи
en_AU,австрали англи
en_CA,канад англи
en_GB,британийн англи
en_US,америк англи
eo,эсперанто
es,испани
es_419,латин америкийн испани
es_ES,европын испани
et,эстони
eu,баск
fa,перс
fi,финлянд
fil,филипин
fj,фижи
fo,фарер
fr,франц
fr_CA,канад франц
fr_CH,швейцари франц
fy,баруун фризын
ga,ирланд
gd,шотланд келт
gl,галик
gn,гуарани
gsw,швейцар герман
gu,гужарати
ha,хауса
haw,хавай
he,еврей
hi,хинди
hr,хорват
ht,гаити
hu,унгар
hy,армен
ia,интерлингво
id,индонези
ie,нэгдмэл хэл
ig,игбо
is,исланд
it,итали
ja,япон
jv,ява
ka,гүрж
kk,хасаг
km,камбож
kn,каннада
ko,солонгос
ks,кашмир
ku,күрд
ky,киргиз
la,латин
lb,люксембург
ln,лингала
lo,лаос
lt,литва
lv,латви
mg,малагаси
mi,маори
mk,македон
ml,малайлам
mn,монгол
mr,марати
ms,малай
mt,малти
my,бирм
nb,норвегийн букмол
ne,балба
nl,голланд
nl_BE,фламанд
nn,нюнорск
no,норвеги
oc,францын окситан
or,ория
pa,панжаб
pl,польш
ps,афган
pt,португал
pt_BR,португал (бразил)
pt_PT,европын португал
qu,кечуа
rm,романш
ro,румын
ru,орос
sa,санскрит
sd,синди
sh,хорватын серб
si,синхала
sk,словак
sl,словен
so,сомали
sq,албани
sr,серб
st,сесото
su,сундан
sv,швед
sw,свахили
ta,тамил
te,тэлүгү
tg,тажик
th,тай
ti,тигрина
tk,туркмен
tlh,клингон хэл
to,тонга
tr,турк
tt,татар
tw,тви
ug,уйгар
uk,украйн
und,тодорхойгүй хэл
ur,урду
uz,узбек
vi,вьетнам
wo,волоф
xh,хоса
yi,иддиш
yo,ёруба
zh,хятад
zh_Hans,хялбаршуулсан хятад
zh_Hant,уламжлалт хятад
zu,зулу
zxx,хэл зүйн агуулга байхгүй
