afar (aa)
abkhasisk (ab)
achinesisk (ace)
acoli (ach)
adangme (ada)
adyghe (ady)
avestisk (ae)
tunisisk-arabisk (aeb)
afrikaans (af)
afrihili (afh)
aghem (agq)
ainu (ain)
akan (ak)
akkadisk (akk)
alabama (akz)
aleutisk (ale)
gegisk-albansk (aln)
søraltaisk (alt)
amharisk (am)
aragonsk (an)
gammelengelsk (ang)
angika (anp)
arabisk (ar)
moderne standard arabisk (ar_001)
arameisk (arc)
araukansk (arn)
araona (aro)
arapaho (arp)
algerisk arabisk (arq)
arawak (arw)
marokkansk-arabisk (ary)
egyptisk arabisk (arz)
assamisk (as)
asu (asa)
amerikansk tegnspråk (ase)
asturisk (ast)
avarisk (av)
kotava (avk)
awadhi (awa)
aymara (ay)
aserbajdsjansk (az)
basjkirsk (ba)
baluchi (bal)
balinesisk (ban)
bairisk (bar)
basa (bas)
bamun (bax)
batak toba (bbc)
ghomala (bbj)
hviterussisk (be)
beja (bej)
bemba (bem)
betawi (bew)
bena (bez)
bafut (bfd)
badaga (bfq)
bulgarsk (bg)
vestbalutsji (bgn)
bhojpuri (bho)
bislama (bi)
bikol (bik)
bini (bin)
banjar (bjn)
kom (bkm)
siksika (bla)
bambara (bm)
bengali (bn)
tibetansk (bo)
bishnupriya (bpy)
bakhtiari (bqi)
bretonsk (br)
braj (bra)
brahui (brh)
bodo (brx)
bosnisk (bs)
akose (bss)
buriat (bua)
buginesisk (bug)
bulu (bum)
blin (byn)
medumba (byv)
katalansk (ca)
caddo (cad)
karibisk (car)
cayuga (cay)
atsam (cch)
tsjetsjensk (ce)
cebuansk (ceb)
kiga (cgg)
chamorro (ch)
chibcha (chb)
chagatai (chg)
chuukesisk (chk)
mari (chm)
chinook (chn)
choctaw (cho)
chipewiansk (chp)
cherokesisk (chr)
cheyenne (chy)
kurdisk (sorani) (ckb)
korsikansk (co)
koptisk (cop)
kapiz (cps)
cree (cr)
krimtatarisk (crh)
tsjekkisk (cs)
kasjubisk (csb)
kirkeslavisk (cu)
tsjuvasjisk (cv)
walisisk (cy)
dansk (da)
dakota (dak)
dargwa (dar)
taita (dav)
tysk (de)
østerriksk tysk (de_AT)
sveitsisk høytysk (de_CH)
delaware (del)
slavisk (den)
dogrib (dgr)
dinka (din)
zarma (dje)
