isi-Akhani (ak)
isi-Amaharikhi (am)
isi-Alabhu (ar)
isi-Bhelarashiyani (be)
isi-Bulgaria (bg)
isi-Bhengali (bn)
isi-Czech (cs)
isi-Jalimani (de)
isi-Giliki (el)
isi-Ngisi (en)
isi-Sipeyini (es)
isi-Pheshiyani (fa)
isi-Fulentshi (fr)
isi-Hausa (ha)
isi-Hindi (hi)
isi-Hangari (hu)
isi-Indonesia (id)
isi-Igbo (ig)
isi-Italiano (it)
isi-Japhani (ja)
isi-Java (jv)
isi-Khambodiya (km)
isi-Koriya (ko)
isi-Malayi (ms)
isi-Burma (my)
isiNdebele (nd)
isi-Nepali (ne)
isi-Dutch (nl)
isi-Phunjabi (pa)
isi-Pholoshi (pl)
isi-Potukezi (pt)
isi-Romani (ro)
isi-Rashiya (ru)
isi-Ruwanda (rw)
isi-Somali (so)
isi-Swidishi (sv)
isi-Thamil (ta)
isi-Thayi (th)
isi-Thekishi (tr)
isi-Ukrain (uk)
isi-Udu (ur)
isi-Vietnamese (vi)
isi-Yorubha (yo)
isi-China (zh)
isi-Zulu (zu)
