Afar (aa)
Abchaasch (ab)
Aceh (ace)
Acholi (ach)
Adangme (ada)
Adygeisch (ady)
Avestsch (ae)
Afrikaans (af)
Afrihili (afh)
Aghem (agq)
Ainu (ain)
Akan (ak)
Akkadsch (akk)
Aleutsch (ale)
Süüd-Altaisch (alt)
Amhaarsch (am)
Aragoneesch (an)
Ooldengelsch (ang)
Angika (anp)
Araabsch (ar)
Standardaraabsch (ar_001)
Aramääsch (arc)
Araukaansch (arn)
Arapaho (arp)
Arawak-Spraken (arw)
Assameesch (as)
Asturiaansch (ast)
Awaarsch (av)
Awadhi (awa)
Aymara (ay)
Aserbaidschaansch (az)
Baschkiersch (ba)
Belutschisch (bal)
Balineesch (ban)
Basaa (bas)
Wittruss’sch (be)
Bedscha (bej)
Bemba (bem)
Bulgaarsch (bg)
Bhodschpuri (bho)
Bislama (bi)
Bikol (bik)
Bini (bin)
Siksika (bla)
Bambara (bm)
Bengaalsch (bn)
Tibeetsch (bo)
Bretoonsch (br)
Braj-Bhakha (bra)
Bodo (brx)
Bosnisch (bs)
Burjaatsch (bua)
Bugineesch (bug)
Blin (byn)
Katalaansch (ca)
Caddo (cad)
Kariebsche Spraken (car)
Atsam (cch)
Tschetscheensch (ce)
Cebuano (ceb)
Chamorro (ch)
Chibcha-Spraken (chb)
Tschagataisch (chg)
Trukeesch (chk)
Mari (chm)
Chinook (chn)
Choctaw (cho)
Chipewyan (chp)
Cherokeesch (chr)
Cheyenne (chy)
Zentraalkurdsch (ckb)
Koorssch (co)
Koptsch (cop)
Cree (cr)
Krimtataarsch (crh)
Tschech’sch (cs)
Kaschuubsch (csb)
Karkenslaavsch (cu)
Tschuwasch’sch (cv)
Waliesch (cy)
Däänsch (da)
Dakota (dak)
Dargiensch (dar)
Hoochdüütsch (de)
Öösterrieksch Hoochdüütsch (de_AT)
Swiezer Hoochdüütsch (de_CH)
Delaware (del)
Slave (den)
Dogrib (dgr)
Dinka (din)
Dogri (doi)
Neddersorbsch (dsb)
Duala (dua)
Middelnedderlandsch (dum)
Maledievsch (dv)
Dyula (dyu)
Bhutaansch (dz)
Ewe (ee)
Efik (efi)
Ägyptsch (egy)
Ekajuk (eka)
Greeksch (el)
Elaamsch (elx)
Engelsch (en)
Austraalsch Engelsch (en_AU)
Kanaadsch Engelsch (en_CA)
Brietsch Engelsch (en_GB)
Amerikaansch Engelsch (en_US)
Middelengelsch (enm)
Esperanto (eo)
