afar (aa)
abkhasisk (ab)
achinesisk (ace)
acoli (ach)
adangme (ada)
adyghe (ady)
avestisk (ae)
afrikaans (af)
afrihili (afh)
aghem (agq)
ainu (ain)
akan (ak)
akkadisk (akk)
aleutisk (ale)
sør-altai (alt)
amharisk (am)
aragonsk (an)
gammalengelsk (ang)
angika (anp)
arabisk (ar)
arameisk (arc)
araukansk (arn)
arapaho (arp)
arawak (arw)
assamisk (as)
asu (Tanzania) (asa)
asturisk (ast)
avarisk (av)
awadhi (awa)
aymara (ay)
aserbajdsjansk (az)
basjkirsk (ba)
baluchi (bal)
balinesisk (ban)
basa (bas)
bamun (bax)
kviterussisk (be)
beja (bej)
bemba (bem)
bena (Tanzania) (bez)
bulgarsk (bg)
bhojpuri (bho)
bislama (bi)
bikol (bik)
bini (bin)
siksika (bla)
bambara (bm)
bengali (bn)
tibetansk (bo)
bretonsk (br)
braj (bra)
bodo (brx)
bosnisk (bs)
bakossi (bss)
burjatisk (bua)
buginesisk (bug)
blin (byn)
katalansk (ca)
caddo (cad)
karibisk (car)
atsam (cch)
tsjetsjensk (ce)
cebuansk (ceb)
chamorro (ch)
chibcha (chb)
chagatai (chg)
chuukesisk (chk)
mari (chm)
chinook (chn)
choctaw (cho)
chipewiansk (chp)
cherokee (chr)
cheyenne (chy)
korsikansk (co)
koptisk (cop)
cree (cr)
krimtatarisk (crh)
tsjekkisk (cs)
kasjubisk (csb)
kyrkjeslavisk (cu)
tsjuvansk (cv)
walisisk (cy)
dansk (da)
dakota (dak)
dargwa (dar)
tysk (de)
austerriksk tysk (de_AT)
sveitsisk høgtysk (de_CH)
delaware (del)
slavej (den)
dogrib (dgr)
dinka (din)
zarma (dje)
dogri (doi)
lågsorbisk (dsb)
duala (dua)
mellumnederlandsk (dum)
divehi (dv)
jola-fonyi (dyo)
dyula (dyu)
dzongkha (dz)
kiembu (ebu)
ewe (ee)
efik (efi)
gammalegyptisk (egy)
ekajuk (eka)
gresk (el)
elamittisk (elx)
engelsk (en)
australisk engelsk (en_AU)
kanadisk engelsk (en_CA)
britisk engelsk (en_GB)
engelsk (amerikansk) (en_US)
mellomengelsk (enm)
esperanto (eo)
spansk (es)
latinamerikansk spansk (es_419)
iberisk spansk (es_ES)
estisk (et)
baskisk (eu)
