افريکاني (af)
امهاري (am)
عربي (ar)
آسامي (as)
أذربائجاني (az)
بلوڅي (bal)
بېلاروسي (be)
بلغاري (bg)
بنګالي (bn)
برېتون (br)
بوسني (bs)
کټلاني (ca)
چېک (cs)
ويلشي (cy)
ډېنش (da)
الماني (de)
یوناني (el)
انګریزي (en)
اسپرانتو (eo)
هسپانوي (es)
حبشي (et)
باسکي (eu)
فارسي (fa)
فینلنډي (fi)
تګالوګ (fil)
فاروئې (fo)
فرانسوي (fr)
فريزي (fy)
ائيرلېنډي (ga)
سکاټلېنډي ګېلک (gd)
ګلېشيايي (gl)
ګوراني (gn)
ګجراتي (gu)
عبري (he)
هندي (hi)
کروواتي (hr)
هنګري (hu)
ارمني (hy)
انټرلنګوا (ia)
انډونېشيايي (id)
آسا نا جبة (ie)
أيسلېنډي (is)
ایټالوي (it)
جاپانی (ja)
جاوايې (jv)
جورجيائي (ka)
کمبوډيايې يا د کمبوډيا (km)
کنأډه (kn)
کوريائي (ko)
کردي (ku)
کرګيز (ky)
لاتیني (la)
لويتين (lo)
ليتواني (lt)
لېټواني (lv)
ملغاسي (mg)
مقدوني (mk)
مالايالم (ml)
مغولي (mn)
مراټهي (mr)
ملایا (ms)
مالټايي (mt)
نېپالي (ne)
هالېنډي (nl)
ناروېئي (نائنورسک) (nn)
ناروېئې (no)
اوکسيټاني (oc)
اوريا (or)
پنجابي (pa)
پولنډي (pl)
پښتو (ps)
پورتګالي (pt)
پرتگال (برازيل) (pt_BR)
پرتګالي (پرتګال) (pt_PT)
روماني (ro)
روسي (ru)
سنسکریټ (sa)
سندهي (sd)
سرب-کروشيايي (sh)
سينهالي (si)
سلوواکي (sk)
سلوواني (sl)
سومالي (so)
الباني (sq)
سربيائي (sr)
سيسوتو (st)
سوډاني (su)
سویډنی (sv)
سواهېلي (sw)
تامل (ta)
تېليګو (te)
تاجکي (tg)
تايلېنډي (th)
تيګريني (ti)
ترکمني (tk)
کلينګاني (tlh)
ترکي (tr)
تاتار (tt)
توی (tw)
اويگور (ug)
اوکرانايي (uk)
اردو (ur)
ازبکي (uz)
وېتنامي (vi)
خوسا (xh)
يديش (yi)
چیني (zh)
زولو (zu)
