Igikani (ak)
Ikimuhariki (am)
Icarabu (ar)
Ikibelarusiya (be)
Ikinyabuligariya (bg)
Ikibengali (bn)
Igiceke (cs)
Ikidage (de)
Ikigereki (el)
Icongereza (en)
Icesipanyolo (es)
Igiperisi (fa)
Igifaransa (fr)
Igihawusa (ha)
Igihindi (hi)
Ikinyahongiriya (hu)
Ikinyendoziya (id)
Ikigubo (ig)
Igitaliyani (it)
Ikiyapani (ja)
Ikinyejava (jv)
Igikambodiya (km)
Ikinyakoreya (ko)
Ikinyamaleziya (ms)
Ikinyabirimaniya (my)
Ikinepali (ne)
Igiholandi (nl)
Igipunjabi (pa)
Ikinyapolonye (pl)
Igiporutugari (pt)
Ikirundi (rn)
Ikinyarumaniya (ro)
Ikirusiya (ru)
Ikinyarwanda (rw)
Igisomali (so)
Igisuweduwa (sv)
Igitamili (ta)
Ikinyatayilandi (th)
Igiturukiya (tr)
Ikinyayukereni (uk)
Inyeyurudu (ur)
Ikinyaviyetinamu (vi)
Ikiyoruba (yo)
Igishinwa (zh)
Ikizulu (zu)
