Ikinyafurikaneri (af)
Inyamuhariki (am)
Icyarabu (ar)
Icyasamizi (as)
Inyazeribayijani (az)
Ikibelarusiya (be)
Urunyabuligariya (bg)
Inyebihari (bh)
Ikibengali (bn)
Inyebiritoni (br)
Inyebosiniya (bs)
Igikatalani (ca)
Igiceke (cs)
Ikigaluwa (cy)
Ikidaninwa (da)
Ikidage (de)
Ikigereki (el)
Icyongereza (en)
Icyesiperanto (eo)
Icyesipanyolo (es)
Icyesitoniya (et)
Ikibasiki (eu)
Inyeperisi (fa)
Igifinilande (fi)
Ikinyafilipine (fil)
Inyefaroyizi (fo)
Igifaransa (fr)
Igifiriziyani (fy)
Ikirilandi (ga)
Ikigaluwa cy'Igisweduwa (gd)
Ikigalisiya (gl)
Inyaguwarani (gn)
Inyegujarati (gu)
Igiheburayo (he)
Igihindi (hi)
Igikorowasiya (hr)
Igihongiriya (hu)
Ikinyarumeniya (hy)
Ururimi Gahuzamiryango (ia)
Ikinyendoziya (id)
Uruhuzandimi (ie)
Igisilande (is)
Igitaliyani (it)
Ikiyapani (ja)
Inyejava (jv)
Inyejeworujiya (ka)
Igikambodiya (km)
Igikanada (kn)
Igikoreya (ko)
Inyekuridishi (ku)
Inkerigizi (ky)
Ikilatini (la)
Ilingala (ln)
Ikilawotiyani (lo)
Ikilituwaniya (lt)
Ikinyaletoviyani (lv)
Ikimasedoniyani (mk)
Ikimalayalami (ml)
Ikimongoli (mn)
Ikimarati (mr)
Ikimalayi (ms)
Ikimaliteze (mt)
Ikinepali (ne)
Ikinerilande (nl)
Inyenoruveji (Nyonorusiki) (nn)
Ikinoruveji (no)
Inyogusitani (oc)
Inyoriya (or)
Igipunjabi (pa)
Igipolone (pl)
Impashito (ps)
Igiporutugali (pt)
Inyeporutigali (Brezili) (pt_BR)
Inyeporutigali (Igiporutigali) (pt_PT)
Ikinyarumaniya (ro)
Ikirusiya (ru)
Kinyarwanda (rw)
Igisansikiri (sa)
Igisindi (sd)
Inyeseribiya na Korowasiya (sh)
Inyesimpaleze (si)
Igisilovaki (sk)
Ikinyasiloveniya (sl)
Igisomali (so)
Icyalubaniya (sq)
Igiseribe (sr)
Inyesesoto (st)
Inyesudani (su)
Igisuweduwa (sv)
Igiswahili (sw)
Igitamili (ta)
Igitelugu (te)
Igitayi (th)
Inyatigirinya (ti)
Inyeturukimeni (tk)
Inyekilingoni (tlh)
Igiturukiya (tr)
Inyetuwi (tw)
Ikiwiguri (ug)
Ikinyayukereni (uk)
Inyeyurudu (ur)
Inyeyuzubeki (uz)
Ikinyaviyetinamu (vi)
Inyehawusa (xh)
Inyeyidishi (yi)
Inyezulu (zu)
