acehgiella (ace)
afrikánsagiella (af)
aragoniagiella (an)
boares eaŋgalasgiella (ang)
apacheš giella (apa)
arábagiella (ar)
asturiagiella (ast)
vilges-ruoššagiella (be)
bulgáriagiella (bg)
bengalgiella (bn)
tibetagiella (bo)
bretonagiella (br)
bosniagiella (bs)
katalánagiella (ca)
kelttalaš gielat (cel)
marigiella (chm)
corsicagiella (co)
čeahkagiella (cs)
kymragiella (cy)
dánskkagiella (da)
duiskkagiella (de)
divehigiella (dv)
dzongkhagiella (dz)
greikkagiella (el)
eaŋgalsgiella (en)
spánskkagiella (es)
esttegiella (et)
persijagiella (fa)
suomagiella (fi)
filippiinnagiella (fil)
fenno-ugrálaš giella (fiu)
fidjigiella (fj)
fearagiella (fo)
fránskkagiella (fr)
oarjifriisagiella (fy)
iirragiella (ga)
germánalaš gielat (gem)
gujaratagiella (gu)
manksgiella (gv)
haussagiella (ha)
hawaiigiella (haw)
hindigiella (hi)
kroátiagiella (hr)
haitigiella (ht)
ungárgiella (hu)
armeenagiella (hy)
indonesiagiella (id)
islánddagiella (is)
itáliagiella (it)
japánagiella (ja)
javagiella (jv)
georgiagiella (ka)
kazakgiella (kk)
kambodiagiella (km)
koreagiella (ko)
gárjilgiella (krl)
kurdigiella (ku)
komigiella (kv)
kornagiella (kw)
láhtengiella (la)
luxemburggagiella (lb)
laogiella (lo)
liettuvagiella (lt)
látviagiella (lv)
mokšagiella (mdf)
maorigiella (mi)
makedoniagiella (mk)
mongoliagiella (mn)
maltagiella (mt)
burmagiella (my)
ersagiella (myv)
girjedárogiella (nb)
nepaligiella (ne)
hollánddagiella (nl)
ođđadárogiella (nn)
dárogiella (no)
oksitánagiella (oc)
panjabigiella (pa)
polskkagiella (pl)
portugálagiella (pt)
romanšgiella (rm)
romániagiella (ro)
románalaš gielat (roa)
ruoššagiella (ru)
sardigiella (sc)
sisiliagiella (scn)
davvisámegiella (se)
selkupagiella (sel)
serbokroatiagiella (sh)
slovákiagiella (sk)
slovenagiella (sl)
samoagiella (sm)
lullisámegiella (sma)
sámegielat (smi)
julevsámegiella (smj)
anárašgiella (smn)
nuortalašgiella (sms)
albánagiella (sq)
serbiagiella (sr)
ruoŧagiella (sv)
shimaorigiella (swb)
ŧaigiella (th)
durkagiella (tr)
tahitigiella (ty)
udmurtagiella (udm)
ukrainagiella (uk)
dovdameahttun giella (und)
urdugiella (ur)
vietnamgiella (vi)
vallonagiella (wa)
sorbi gielat (wen)
kantongiella (yue)
kiinnágiella (zh)
álki kiinágiella (zh_Hans)
árbevirolaš kiinnágiella (zh_Hant)
