akan (ak)
amárico (am)
árabe (ar)
bielo-russo (be)
búlgaro (bg)
bengali (bn)
tcheco (cs)
alemão (de)
grego (el)
inglês (en)
espanhol (es)
persa (fa)
francês (fr)
hausa (ha)
hindi (hi)
húngaro (hu)
indonésio (id)
ibo (ig)
italiano (it)
japonês (ja)
javanês (jv)
cmer (km)
coreano (ko)
malaio (ms)
birmanês (my)
nepalês (ne)
holandês (nl)
panjabi (pa)
polonês (pl)
português (pt)
romeno (ro)
russo (ru)
kinyarwanda (rw)
sena (seh)
somali (so)
sueco (sv)
tâmil (ta)
tailandês (th)
turco (tr)
ucraniano (uk)
urdu (ur)
vietnamita (vi)
iorubá (yo)
chinês (zh)
zulu (zu)
