Akâan (ak)
Amarîki (am)
Arâbo (ar)
Bielörûsi (be)
Bulugäri (bg)
Bengäli (bn)
Tyêki (cs)
Zâmani (de)
Gerêki (el)
Anglëe (en)
Espanyöl (es)
Farsî (fa)
Farânzi (fr)
Haüsä (ha)
Hîndi (hi)
Hongruäa (hu)
Enndonezïi (id)
Ïgbö (ig)
Ênnde (it)
Zaponëe (ja)
Zavanëe (jv)
Kmêre (km)
Koreyëen (ko)
Malëe (ms)
Miamära, Birimäni (my)
Nepalëe (ne)
Holandëe (nl)
Penzäbï (pa)
Polonëe (pl)
Portugëe, Pûra (pt)
Rumëen (ro)
Rûsi (ru)
Ruandäa (rw)
Sängö (sg)
Somalïi (so)
Sueduäa (sv)
Tämûli (ta)
Thâi (th)
Tûrûku (tr)
Ukrêni (uk)
Ûrdu (ur)
Vietnäm (vi)
Yoruba (yo)
Shinuäa (zh)
Zûlu (zu)
