ⵜⴰⴽⴰⵏⵜ (ak)
ⵜⴰⵎⵀⴰⵔⵉⵜ (am)
ⵜⴰⵄⵔⴰⴱⵜ (ar)
ⵜⴰⴱⵉⵍⴰⵔⵓⵙⵜ (be)
ⵜⴰⴱⵍⵖⴰⵔⵉⵜ (bg)
ⵜⴰⴱⵏⵖⴰⵍⵉⵜ (bn)
ⵜⴰⵜⵛⵉⴽⵉⵜ (cs)
ⵜⴰⵍⵉⵎⴰⵏⵜ (de)
ⵜⴰⴳⵔⵉⴳⵉⵜ (el)
ⵜⴰⵏⴳⵍⵉⵣⵜ (en)
ⵜⴰⵙⴱⵏⵢⵓⵍⵉⵜ (es)
ⵜⴰⴼⵓⵔⵙⵉⵜ (fa)
ⵜⴰⴼⵔⴰⵏⵙⵉⵙⵜ (fr)
ⵜⴰⵀⴰⵡⵙⴰⵜ (ha)
ⵜⴰⵀⵉⵏⴷⵉⵜ (hi)
ⵜⴰⵀⵏⵖⴰⵔⵉⵜ (hu)
ⵜⴰⵏⴷⵓⵏⵉⵙⵉⵜ (id)
ⵜⵉⴳⴱⵓⵜ (ig)
ⵜⴰⵟⴰⵍⵢⴰⵏⵜ (it)
ⵜⴰⵊⴰⴱⴱⵓⵏⵉⵜ (ja)
ⵜⴰⵊⴰⴼⴰⵏⵉⵜ (jv)
ⵜⴰⵅⵎⵉⵔⵜ (km)
ⵜⴰⴽⵓⵔⵉⵜ (ko)
ⵜⴰⵎⴰⵍⴰⵡⵉⵜ (ms)
ⵜⴰⴱⵉⵔⵎⴰⵏⵉⵜ (my)
ⵜⴰⵏⵉⴱⴰⵍⵉⵜ (ne)
ⵜⴰⵀⵓⵍⴰⵏⴷⵉⵜ (nl)
ⵜⴰⴱⵏⵊⴰⴱⵉⵜ (pa)
ⵜⴰⴱⵓⵍⵓⵏⵉⵜ (pl)
ⵜⴰⴱⵕⵟⵇⵉⵣⵜ (pt)
ⵜⴰⵔⵓⵎⴰⵏⵉⵜ (ro)
ⵜⴰⵔⵓⵙⵉⵜ (ru)
ⵜⴰⵔⵓⵡⴰⵏⴷⵉⵜ (rw)
ⵜⴰⵛⵍⵃⵉⵜ (shi)
ⵜⴰⵙⵓⵎⴰⵍⵉⵜ (so)
ⵜⴰⵙⵡⵉⴷⵉⵜ (sv)
ⵜⴰⵜⴰⵎⵉⵍⵜ (ta)
ⵜⴰⵜⴰⵢⵍⴰⵏⴷⵉⵜ (th)
ⵜⴰⵜⵓⵔⴽⵉⵜ (tr)
ⵜⵓⴽⵔⴰⵏⵉⵜ (uk)
ⵜⵓⵔⴷⵓⵜ (ur)
ⵜⴰⴼⵉⵜⵏⴰⵎⵉⵜ (vi)
ⵜⴰⵢⵔⵓⴱⴰⵜ (yo)
ⵜⴰⵛⵉⵏⵡⵉⵜ (zh)
ⵜⴰⵣⵓⵍⵓⵜ (zu)
