ainukielâ (ain)
arabiakielâ (ar)
vielgisruošâkielâ (be)
bulgariakielâ (bg)
marikielâ (chm)
tšeekikielâ (cs)
kirkkoslaavi (cu)
tanskakielâ (da)
saksakielâ (de)
Nuorttâriijkâ saksakielâ (de_AT)
kreikakielâ (el)
engâlâskielâ (en)
Australia engâlâskielâ (en_AU)
Kanada engâlâskielâ (en_CA)
espanjakielâ (es)
eestikielâ (et)
suomâkielâ (fi)
ranskakielâ (fr)
iirikielâ (ga)
toovláškreikakielâ (grc)
hepreakielâ (he)
kroatiakielâ (hr)
uŋgarkielâ (hu)
armeniakielâ (hy)
islandkielâ (is)
italiakielâ (it)
jaapaankielâ (ja)
kurdikielâ (ku)
komikielâ (kv)
läättinkielâ (la)
latviakielâ (lv)
mokšâkielâ (mdf)
maorikielâ (mi)
makedoniakielâ (mk)
mongoliakielâ (mn)
viestârmarikielâ (mrj)
neepaalkielâ (ne)
hollandkielâ (nl)
tárukielâ nynorsk (nn)
tárukielâ (no)
toovláštárukielâ (non)
puolakielâ (pl)
portugalkielâ (pt)
romaniakielâ (ro)
roomaankielâ (rom)
ruošâkielâ (ru)
sanskritkielâ (sa)
tavesämikielâ (se)
sloveniakielâ (sl)
maadâsämikielâ (sma)
juulevsämikielâ (smj)
anarâškielâ (smn)
nuorttâlâškielâ (sms)
serbiakielâ (sr)
ruotâkielâ (sv)
turkkikielâ (tr)
udmurtkielâ (udm)
ukrainakielâ (uk)
vepsäkielâ (vep)
vietnamkielâ (vi)
kantonkiinakielâ (yue)
kiinakielâ (zh)
oovtâkiärdánis kiinakielâ (zh_Hans)
ärbivuáválâš kiinakielâ (zh_Hant)
