chiAkani (ak)
chiAmaric (am)
chiArabu (ar)
chiBelarusi (be)
chiBulgarian (bg)
chiBengali (bn)
chiCzech (cs)
chiJerimani (de)
chiGreek (el)
Chirungu (en)
chiSpanish (es)
chiPeshiya (fa)
chiFurenchi (fr)
chiHausa (ha)
chiHindi (hi)
chiHungari (hu)
chiIndonesia (id)
chiIgbo (ig)
chiTariana (it)
chiJapani (ja)
chiJava (jv)
chiKhema (km)
chiKoria (ko)
chiMalay (ms)
chiBurma (my)
chiNepali (ne)
chiDutch (nl)
chiPunjabi (pa)
chiPolish (pl)
chiPutukezi (pt)
chiRomanian (ro)
chiRashiya (ru)
chiRwanda (rw)
chiShona (sn)
chiSomali (so)
chiSwedish (sv)
chiTamil (ta)
chiThai (th)
chiTurkish (tr)
chiUkrenia (uk)
chiUrdu (ur)
chiVietnam (vi)
chiYoruba (yo)
chiChinese (zh)
chiZulu (zu)
