Afrikanisht (af)
Amharike (am)
Arabisht (ar)
Asamezisht (as)
Azerbajxhanisht (az)
Bjellorusisht (be)
Bullgarisht (bg)
Bihari (bh)
Bengalisht (bn)
Breton (br)
Boshnjakisht (bs)
Katalonisht (ca)
Çekisht (cs)
Uellsisht (cy)
Danisht (da)
Gjermanisht (de)
Greqisht (el)
Anglisht (en)
Esperanto (eo)
Spanjisht (es)
Estonisht (et)
Baskisht (eu)
Persisht (fa)
Finlandisht (fi)
Tagalogisht (fil)
Faroisht (fo)
Frengjisht (fr)
Frizianisht (fy)
Irlandisht (ga)
Galisht (gd)
Galicianisht (gl)
Guarani (gn)
Guxharati (gu)
Hebraisht (he)
Hindi (hi)
Kroatisht (hr)
Hungarisht (hu)
Armen (hy)
Interlingua (ia)
Indonezisht (id)
Gjuha nderkombtare (ie)
Islandisht (is)
Italisht (it)
Japanisht (ja)
Javanisht (jv)
Gjeorgjisht (ka)
Kamboxhiane (km)
Kanada (kn)
Koreançe (ko)
Kurd (ku)
Kyrgyz (ky)
Latinisht (la)
Lingala (ln)
Laosisht (lo)
Lituanisht (lt)
Letonisht (lv)
Maqedonisht (mk)
Malajalam (ml)
Mongolisht (mn)
Marati (mr)
Malajzisht (ms)
Maltisht (mt)
Nepalisht (ne)
Holandisht (nl)
Norvegjisht (Nynorsk) (nn)
Norvegjisht (no)
Oksitanisht (oc)
Orija (or)
Punxhabi (pa)
Polonisht (pl)
Pashto (ps)
Portugeze (pt)
Portugalisht (Brazil) (pt_BR)
Portugalisht (Portugali) (pt_PT)
Rumanisht (ro)
Rusisht (ru)
Sanskritisht (sa)
Si'ndi (sd)
Serbo-Kroatisht (sh)
Sinhalezisht (si)
Sllovakisht (sk)
Sllovenisht (sl)
Somalisht (so)
shqip (sq)
Serbisht (sr)
Sesotho (st)
Sundanisht (su)
Suedisht (sv)
Suahilisht (sw)
Tamil (ta)
Telugu (te)
Tajlandisht (th)
Tigrinja (ti)
Turk (tk)
Klingon (tlh)
Turqisht (tr)
Twi (tw)
Ujgur (ug)
Ukrainisht (uk)
Urdu (ur)
Uzbekistanisht (uz)
Vietnamisht (vi)
Xhosa (xh)
Jiden (yi)
Kineze (zh)
Zulu (zu)
