афарски (aa)
абхаски (ab)
ацешки (ace)
аколи (ach)
адангме (ada)
адигејски (ady)
авестански (ae)
африканс (af)
африхили (afh)
агем (agq)
аину (ain)
акански (ak)
акадијски (akk)
алеутски (ale)
јужноалтајски (alt)
амхарски (am)
арагонски (an)
староенглески (ang)
ангика (anp)
арапски (ar)
савремени стандардни арапски (ar_001)
арамејски (arc)
мапуче (arn)
арапахо (arp)
аравачки (arw)
асамски (as)
асу (asa)
астуријски (ast)
аварски (av)
авади (awa)
ајмара (ay)
азербејџански (az)
башкирски (ba)
белучки (bal)
балијски (ban)
баса (bas)
белоруски (be)
беџа (bej)
бемба (bem)
бена (bez)
бугарски (bg)
западни белучки (bgn)
боџпури (bho)
бислама (bi)
бикол (bik)
бини (bin)
сисика (bla)
бамбара (bm)
бенгалски (bn)
тибетански (bo)
бретонски (br)
брај (bra)
бодо (brx)
босански (bs)
бурјатски (bua)
бугијски (bug)
блински (byn)
каталонски (ca)
кадо (cad)
карипски (car)
атсам (cch)
чеченски (ce)
себуански (ceb)
чига (cgg)
чаморо (ch)
чипча (chb)
чагатај (chg)
чучки (chk)
мари (chm)
чинучки (chn)
чоктавски (cho)
чипевјански (chp)
чероки (chr)
чејенски (chy)
централни курдски (ckb)
корзикански (co)
коптски (cop)
кри (cr)
кримскотатарски (crh)
сејшелски креолски француски (crs)
чешки (cs)
кашупски (csb)
црквенословенски (cu)
чувашки (cv)
велшки (cy)
дански (da)
дакота (dak)
даргински (dar)
таита (dav)
немачки (de)
швајцарски високи немачки (de_CH)
делаверски (del)
слејви (den)
догрипски (dgr)
динка (din)
зарма (dje)
догри (doi)
доњи лужичкосрпски (dsb)
дуала (dua)
средњехоландски (dum)
малдивски (dv)
џола фоњи (dyo)
ђула (dyu)
џонга (dz)
дазага (dzg)
ембу (ebu)
еве (ee)
ефички (efi)
староегипатски (egy)
екаџук (eka)
грчки (el)
еламитски (elx)
енглески (en)
енглески (Велика Британија) (en_GB)
енглески (Сједињене Америчке Државе) (en_US)
средњеенглески (enm)
есперанто (eo)
шпански (es)
естонски (et)
баскијски (eu)
евондо (ewo)
персијски (fa)
фанг (fan)
