aa,Afarski
ab,Abkazijski
ace,Ačineski
ach,Akoli
ada,Adangmejski
ady,Adigejski
ae,Avestanski
af,Afrikanerski
afh,Afrihili
ain,Ainu
ak,Akan
akk,Akadijski
ale,Aljut
alt,Južni altai
am,Amharski
an,Aragonežanski
ang,Staroengleski
anp,Angika
ar,Arapski
ar_001,moderan standardni arapski
arc,Armajski
arn,Arokanijski
arp,Arapaho
arw,Aravak
as,Asemijski
ast,Asturijski
av,Avarski
awa,Avadhi
ay,Ajmara
az,Azerbejdžanski
ba,Baškir
bal,Baluči
ban,Balinezijski
bas,Basa
be,Beloruski
bej,Beja
bem,Bemba
bg,Bugarski
bho,Bojpuri
bi,Bislama
bik,Bikol
bin,Bini
bla,Sisika
bm,Bambara
bn,Benglaski
bo,Tibetanski
br,Bretonski
bra,Braj
bs,Bosanski
bua,Buriat
bug,Buginežanski
byn,Blin
ca,Katalonski
cad,Kado
car,Karipski
cch,Atsamski
ce,Čečenski
ceb,Cebuano
ch,Čamoro
chb,Čibča
chg,Čagatai
chk,Čukeski
chm,Mari
chn,Činukski
cho,Čoktavski
chp,Čipvijanski
chr,Čeroki
chy,Čejenski
ckb,sorani kurdski
co,Korzikanski
cop,Koptski
cr,Kri
crh,Krimeanski turski
cs,Češki
csb,Kašubijanski
cu,Staroslovenski
cv,Čuvaški
cy,Velški
da,Danski
dak,Dakota
dar,Dargva
de,Nemački
de_AT,Austrijski nemački
de_CH,Švajcarski visoki nemački
del,Delaver
den,Slavski
dgr,Dogrib
din,Dinka
doi,Dogri
dsb,Niski sorbijanski
dua,Duala
dum,Srednji holandski
dv,Divehijski
dyu,Đula
dz,Džonga
ee,Eve
efi,Efikski
egy,Staroegipatski
eka,Ekajuk
el,Grčki
elx,Elamitski
en,Engleski
en_AU,Australijski engleski
en_CA,Kanadski engleski
en_GB,Britanski engleski
en_US,SAD engleski
enm,Srednji engleski
eo,Esperanto
es,Španski
es_419,Latino-američki španski
es_ES,Iberijski španski
es_MX,meksički španski
et,Estonski
eu,Baskijski
ewo,Evondo
fa,Persijski
fan,Fang
fat,Fanti
ff,Fulah
fi,Finski
