Afarski (aa)
abhaski (ab)
Ačineski (ace)
Akoli (ach)
Adangmejski (ada)
Adigejski (ady)
Avestanski (ae)
afrikans (af)
Afrihili (afh)
agem (agq)
Ainu (ain)
akan (ak)
Akadijski (akk)
Aljut (ale)
Južni altai (alt)
amharski (am)
Aragonežanski (an)
Staroengleski (ang)
Angika (anp)
arapski (ar)
moderan standardni arapski (ar_001)
Armajski (arc)
mapuče (arn)
Arapaho (arp)
Aravak (arw)
asamski (as)
asu (asa)
Asturijski (ast)
Avarski (av)
Avadhi (awa)
Ajmara (ay)
azerbejdžanski (az)
baškirski (ba)
Baluči (bal)
Balinezijski (ban)
Basa (bas)
beloruski (be)
Beja (bej)
bemba (bem)
bena (bez)
bugarski (bg)
Bojpuri (bho)
Bislama (bi)
Bikol (bik)
Bini (bin)
Sisika (bla)
bambara (bm)
bengalski (bn)
tibetanski (bo)
bretonski (br)
Braj (bra)
bodo (brx)
bosanski (bs)
Buriat (bua)
Buginežanski (bug)
Blin (byn)
katalonski (ca)
Kado (cad)
Karipski (car)
Atsamski (cch)
Čečenski (ce)
Cebuano (ceb)
čiga (cgg)
Čamoro (ch)
Čibča (chb)
Čagatai (chg)
Čukeski (chk)
Mari (chm)
Činukski (chn)
Čoktavski (cho)
Čipvijanski (chp)
čeroki (chr)
Čejenski (chy)
sorani kurdski (ckb)
korzikanski (co)
Koptski (cop)
Kri (cr)
Krimeanski turski (crh)
češki (cs)
Kašubijanski (csb)
Staroslovenski (cu)
Čuvaški (cv)
velški (cy)
danski (da)
Dakota (dak)
Dargva (dar)
taita (dav)
nemački (de)
švajcarski visoki nemački (de_CH)
Delaver (del)
Slavski (den)
Dogrib (dgr)
Dinka (din)
zarma (dje)
Dogri (doi)
donji lužičkosrpski (dsb)
duala (dua)
Srednji holandski (dum)
Divehijski (dv)
džola fonji (dyo)
Đula (dyu)
džonga (dz)
embu (ebu)
eve (ee)
Efikski (efi)
Staroegipatski (egy)
Ekajuk (eka)
grčki (el)
Elamitski (elx)
engleski (en)
Srednji engleski (enm)
esperanto (eo)
španski (es)
estonski (et)
baskijski (eu)
Evondo (ewo)
persijski (fa)
Fang (fan)
Fanti (fat)
Fulah (ff)
finski (fi)
filipinski (fil)
fidžijski (fj)
farski (fo)
Fon (fon)
francuski (fr)
Srednji francuski (frm)
Starofrancuski (fro)
Severno-frizijski (frr)
Istočni frizijski (frs)
Friulijski (fur)
zapadni frizijski (fy)
irski (ga)
Ga (gaa)
gagauz (gag)
Gajo (gay)
Gbaja (gba)
Škotski Galski (gd)
Džiz (gez)
Gilbertški (gil)
galicijski (gl)
Srednji visoki nemački (gmh)
gvarani (gn)
Staronemački (goh)
Gondi (gon)
Gorontalo (gor)
Gotski (got)
Grebo (grb)
Starogrčki (grc)
Švajcarski nemački (gsw)
gudžarati (gu)
gusi (guz)
Manks (gv)
Gvič’in (gwi)
hausa (ha)
Haida (hai)
havajski (haw)
hebrejski (he)
hindi (hi)
Hiligajnon (hil)
Hitite (hit)
Hmong (hmn)
Hiri Motu (ho)
hrvatski (hr)
gornji lužičkosrpski (hsb)
Haitski (ht)
mađarski (hu)
Hupa (hup)
jermenski (hy)
Herero (hz)
Interlingva (ia)
Iban (iba)
indonežanski (id)
Međujezički (ie)
igbo (ig)
sečuan ji (ii)
Unupiak (ik)
Iloko (ilo)
Ingviški (inh)
Ido (io)
islandski (is)
italijanski (it)
inuktitut (iu)
japanski (ja)
Lojban (jbo)
ngomba (jgo)
mačame (jmc)
Judeo-persijski (jpr)
Judeo-arapski (jrb)
javanski (jv)
gruzijski (ka)
Kara-kalpaški (kaa)
kabile (kab)
Kačin (kac)
Đu (kaj)
kamba (kam)
Kavi (kaw)
Kabardijski (kbd)
Tjap (kcg)
makonde (kde)
zelenortski kreolski (kea)
Koro (kfo)
Kongo (kg)
Kasi (kha)
Kotaneški (kho)
kojra čiini (khq)
kikuju (ki)
Kuanjama (kj)
kazaški (kk)
kalalisut (kl)
kalendžin (kln)
kmerski (km)
Kimbundu (kmb)
kanada (kn)
korejski (ko)
komi-permski (koi)
konkani (kok)
Kosreanski (kos)
Kpele (kpe)
Kanuri (kr)
Karačaj-balkar (krc)
Krio (kri)
Karelijski (krl)
Kurukh (kru)
kašmirski (ks)
šambala (ksb)
bafija (ksf)
kurdski (ku)
Kumik (kum)
Kutenai (kut)
Komi (kv)
kornvolski (kw)
kirgiski (ky)
latinski (la)
Ladino (lad)
langi (lag)
Landa (lah)
Lamba (lam)
luksemburški (lb)
Lezgian (lez)
ganda (lg)
Limburgiš (li)
lakota (lkt)
lingala (ln)
laoški (lo)
Mongo (lol)
Lozi (loz)
litvanski (lt)
luba-katanga (lu)
Luba-lulua (lua)
Luiseno (lui)
Lunda (lun)
luo (luo)
Lušai (lus)
lujia (luy)
letonski (lv)
Madureški (mad)
Magahi (mag)
Maitili (mai)
Makasar (mak)
Mandingo (man)
masai (mas)
Mokša (mdf)
Mandar (mdr)
Mende (men)
meru (mer)
morisjen (mfe)
malgaški (mg)
Srednji irski (mga)
makuva-meeto (mgh)
meta (mgo)
Maršalski (mh)
maorski (mi)
Mikmak (mic)
Minangkabau (min)
makedonski (mk)
malajalam (ml)
mongolski (mn)
Manču (mnc)
Manipuri (mni)
mohok (moh)
Mosi (mos)
marati (mr)
malajski (ms)
malteški (mt)
mundang (mua)
Više jezika (mul)
Kriški (mus)
Mirandeški (mwl)
Marvari (mwr)
burmanski (my)
Erzija (myv)
Nauru (na)
Neapolitanski (nap)
nama (naq)
norveški bokmal (nb)
severni ndebele (nd)
Niski nemački (nds)
nepalski (ne)
Nevari (new)
Ndonga (ng)
Nias (nia)
Niuean (niu)
holandski (nl)
flamanski (nl_BE)
kvasio (nmg)
norveški ninorsk (nn)
Norveški (no)
Nogai (nog)
Stari norski (non)
N’ko (nqo)
Južni ndebele (nr)
Severni soto (nso)
nuer (nus)
Navaho (nv)
Klasični nevari (nwc)
Njanja (ny)
Njamvezi (nym)
njankole (nyn)
Njoro (nyo)
Nzima (nzi)
Provansalski (oc)
Ojibva (oj)
oromo (om)
orija (or)
Osetski (os)
Osage (osa)
Otomanski turski (ota)
pandžabi (pa)
Pangasinski (pag)
Pahlavi (pal)
Pampanga (pam)
Papiamento (pap)
Palauanski (pau)
Staropersijski (peo)
Feničanski (phn)
Pali (pi)
poljski (pl)
Ponpejski (pon)
Staroprovansalski (pro)
paštunski (ps)
portugalski (pt)
Brazilski portugalski (pt_BR)
Iberijski portugalski (pt_PT)
kečua (qu)
k’iče (quc)
Rađastani (raj)
Rapanui (rap)
Rarotongan (rar)
reto-romanski (rm)
rundi (rn)
rumunski (ro)
moldavski (ro_MD)
rombo (rof)
Romani (rom)
Rut (root)
ruski (ru)
Aromanijski (rup)
kinjaruanda (rw)
rua (rwk)
sanskrit (sa)
Sandave (sad)
Jakut (sah)
Samaritanski aramejski (sam)
samburu (saq)
Sasak (sas)
Santali (sat)
sangu (sbp)
Sardinjaski (sc)
Sicilijanski (scn)
Škotski (sco)
sindi (sd)
severni sami (se)
sena (seh)
Selkap (sel)
kojraboro seni (ses)
sango (sg)
Staroirski (sga)
Srpskohrvatski (sh)
tašelhit (shi)
Šan (shn)
sinhalski (si)
Sidamo (sid)
slovački (sk)
slovenački (sl)
Samoanski (sm)
južni sami (sma)
lule sami (smj)
inari sami (smn)
skolt sami (sms)
šona (sn)
Soninke (snk)
somalski (so)
Sodžijenski (sog)
albanski (sq)
srpski (sr)
Srananski tongo (srn)
Serer (srr)
Svati (ss)
Sesoto (st)
sudanski (su)
Sukuma (suk)
Susu (sus)
Sumerski (sux)
švedski (sv)
svahili (sw)
Komorski (swb)
kongo svahili (swc)
Klasični sirijski (syc)
Sirijski (syr)
tamilski (ta)
telugu (te)
Timne (tem)
teso (teo)
Tereno (ter)
Tetum (tet)
Tađik (tg)
tajlandski (th)
tigrinja (ti)
Tigre (tig)
Tiv (tiv)
turkmenski (tk)
Tokelau (tkl)
Tagalski (tl)
Klingonski (tlh)
Tlingit (tli)
Tamašek (tmh)
Tsvana (tn)
tonga (to)
Njasa tonga (tog)
Tok Pisin (tpi)
turski (tr)
Tsonga (ts)
Tsimšian (tsi)
tatarski (tt)
Tumbuka (tum)
Tuvalu (tvl)
Tvi (tw)
tasavak (twq)
Tahićanski (ty)
Tuvinijski (tyv)
centralnoatlaski tamazigt (tzm)
Udmurt (udm)
ujgurski (ug)
Ugaritski (uga)
ukrajinski (uk)
Umbundu (umb)
nepoznat jezik (und)
urdu (ur)
uzbečki (uz)
vai (vai)
Venda (ve)
vijetnamski (vi)
Volapuk (vo)
Votski (vot)
vundžo (vun)
Valun (wa)
Valamo (wal)
Varaj (war)
Vašo (was)
volof (wo)
Kalmik (xal)
kosa (xh)
soga (xog)
Jao (yao)
Japeški (yap)
Jidiš (yi)
joruba (yo)
Kantonski (yue)
Žuang (za)
Zapotečki (zap)
Blisimboli (zbl)
Zenaga (zen)
standardni marokanski tamazigt (zgh)
kineski (zh)
zulu (zu)
Zuni (zun)
bez lingvističkog sadržaja (zxx)
Zaza (zza)
