Seburu (af)
Se-amhari (am)
Se-arab (ar)
Se-azerbaijani (az)
Se-belarusia (be)
Se-bulgaria (bg)
Se-bihari (bh)
Se-bengali (bn)
Breton (br)
Se-bosnia (bs)
Se-catalia (ca)
Se-czech (cs)
Se-welsh (cy)
Se-dutch (da)
Se-jeremane (de)
Se-greek (el)
Senyesemane (en)
Se-esperanto (eo)
Sespain (es)
Se-estonia (et)
Se-basque (eu)
Se-persia (fa)
Se-finnish (fi)
Se-tagalog (fil)
Se-foroese (fo)
Se-french (fr)
Se-frisia (fy)
Se-irish (ga)
Se-scots gaelic (gd)
Se-galicia (gl)
Guarani (gn)
Se-gujarati (gu)
Se-hebrew (he)
Se-hindi (hi)
Se-croatia (hr)
Se-hungaria (hu)
Se-interlingua (ia)
Se-indonesia (id)
Se-iceland (is)
Se-tariana (it)
Se-japane (ja)
Se-javane (jv)
Se-geogia (ka)
Se-kannada (kn)
Se-korea (ko)
Kurdish (ku)
Kyrgyz (ky)
Se-latino (la)
Se-Lithuano (lt)
Se-masedonia (mk)
Se-malayalam (ml)
Se-marathi (mr)
Se-malay (ms)
Se-maltese (mt)
Se-nepali (ne)
Dutch (nl)
Se-norway (Nynorsk) (nn)
Se-norway (no)
Se-occitan (oc)
Oriya (or)
Se-punjabi (pa)
Se-polish (pl)
Pashto (ps)
Se-portugal (pt)
Seputukesi (sa Brazil) (pt_BR)
Se-portugal (Portugal) (pt_PT)
Se-romania (ro)
Se-rushia (ru)
Serbo-Croatian (sh)
Se-sinhali (si)
Se-slovak (sk)
Se-slovania (sl)
Se-albanian (sq)
Se-serbian (sr)
Sesotho (st)
Se-sundanese (su)
Se-sweden (sv)
Se-swahili (sw)
Se-tamil (ta)
Se-telegu (te)
Se-thai (th)
Se-tigrinya (ti)
Turkmen (tk)
Se-klingon (tlh)
Se-theki (tr)
Twi (tw)
Se-ukrania (uk)
Se-urdu (ur)
Se-uzbek (uz)
Se-vietnam (vi)
se Xhosa (xh)
Yiddish (yi)
se Zulu (zu)
